instance,algorithm,threshold_percent,run_number,hit_time_seconds,cutoff_time_seconds
N-t65l11xx_150,RII_insert_cw,0.50,0,155.425672,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,1,61.265785,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,2,11.939644,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,3,34.447238,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,4,27.448767,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,5,16.957478,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,6,4.592855,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,7,22.564712,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,8,29.261786,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,9,5.549507,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,10,3.970422,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,11,7.964015,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,12,67.155354,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,13,20.091226,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,14,8.050725,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,15,4.743231,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,16,31.314594,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,17,21.122977,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,18,16.045540,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,19,41.022120,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,20,9.320762,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,21,53.375072,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,22,44.515425,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,23,2.425148,806.040064
N-t65l11xx_150,RII_insert_cw,0.50,24,13.144581,806.040064
N-t65l11xx_150,VNS_order2,0.50,0,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,1,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,2,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,3,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,4,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,5,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,6,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,7,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,8,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,9,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,10,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,11,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,12,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,13,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,14,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,15,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,16,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,17,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,18,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,19,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,20,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,21,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,22,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,23,-1.000000,806.040064
N-t65l11xx_150,VNS_order2,0.50,24,-1.000000,806.040064
