instance,pivoting_rule,neighborhood,initial_solution,cost,delta_percent,time_seconds,instance_clean,best_known
N-tiw56r67_250,first,transpose,random,3716700,29.736478,8.7e-05,N-tiw56r67_250,5289658
N-tiw56r67_250,first,transpose,cw,4415193,16.531598,0.006715,N-tiw56r67_250,5289658
N-tiw56r67_250,first,exchange,random,3707395,29.912388,4.4e-05,N-tiw56r67_250,5289658
N-tiw56r67_250,first,exchange,cw,4415322,16.529159,0.008832,N-tiw56r67_250,5289658
N-tiw56r67_250,first,insert,random,3707418,29.911953,5e-05,N-tiw56r67_250,5289658
N-tiw56r67_250,first,insert,cw,4415219,16.531107,0.008191,N-tiw56r67_250,5289658
N-tiw56r67_250,best,transpose,random,3716700,29.736478,0.003034,N-tiw56r67_250,5289658
N-tiw56r67_250,best,transpose,cw,4415416,16.527382,0.011606,N-tiw56r67_250,5289658
N-tiw56r67_250,best,exchange,random,3773767,28.657637,0.292657,N-tiw56r67_250,5289658
N-tiw56r67_250,best,exchange,cw,4442464,16.016045,0.289906,N-tiw56r67_250,5289658
N-tiw56r67_250,best,insert,random,3744510,29.210735,0.464337,N-tiw56r67_250,5289658
N-tiw56r67_250,best,insert,cw,4436383,16.131005,0.491227,N-tiw56r67_250,5289658
N-tiw56r66_150,first,transpose,random,1154651,40.505061,1.6e-05,N-tiw56r66_150,1940755
N-tiw56r66_150,first,transpose,cw,1605907,17.253492,0.001037,N-tiw56r66_150,1940755
N-tiw56r66_150,first,exchange,random,1155321,40.470539,1.4e-05,N-tiw56r66_150,1940755
N-tiw56r66_150,first,exchange,cw,1605907,17.253492,0.001175,N-tiw56r66_150,1940755
N-tiw56r66_150,first,insert,random,1155321,40.470539,1.1e-05,N-tiw56r66_150,1940755
N-tiw56r66_150,first,insert,cw,1605907,17.253492,0.001031,N-tiw56r66_150,1940755
N-tiw56r66_150,best,transpose,random,1162574,40.096818,0.000365,N-tiw56r66_150,1940755
N-tiw56r66_150,best,transpose,cw,1606283,17.234118,0.00145,N-tiw56r66_150,1940755
