algorithm_1,algorithm_2,n_instances,mean_delta_1,mean_delta_2,mean_diff_delta_1_minus_2,abs_mean_diff,better_by_mean,t_statistic,p_value_ttest,significant_ttest,wilcoxon_statistic,p_value_wilcoxon,significant_wilcoxon
best_exchange_random,best_insert_cw,78,33.21370429487178,16.640161038461535,16.57354325641026,16.57354325641026,best_insert_cw,42.622212275872165,2.6296254035803507e-55,True,0.0,1.682175044870657e-14,True
best_exchange_cw,best_exchange_random,78,16.428363230769232,33.21370429487178,-16.785341064102564,16.785341064102564,best_exchange_cw,-42.603410157055045,2.7167916386613396e-55,True,0.0,1.682175044870657e-14,True
best_exchange_random,best_transpose_cw,78,33.21370429487178,17.267722974358975,15.94598132051282,15.94598132051282,best_transpose_cw,42.109984538285026,6.423789877294661e-55,True,0.0,1.682175044870657e-14,True
best_exchange_random,first_exchange_cw,78,33.21370429487178,17.2743697948718,15.939334500000001,15.939334500000001,first_exchange_cw,42.09522898933373,6.592185702219545e-55,True,0.0,1.682175044870657e-14,True
best_exchange_random,first_transpose_cw,78,33.21370429487178,17.283998025641026,15.929706269230769,15.929706269230769,first_transpose_cw,42.088122788736904,6.674871974016702e-55,True,0.0,1.682175044870657e-14,True
best_exchange_random,first_insert_cw,78,33.21370429487178,17.274449602564108,15.93925469230769,15.93925469230769,first_insert_cw,42.06788689853965,6.916131602579407e-55,True,0.0,1.682175044870657e-14,True
best_insert_cw,best_insert_random,78,16.640161038461535,33.91217737179488,-17.272016333333333,17.272016333333333,best_insert_cw,-41.010231921266694,4.5231563237763795e-54,True,0.0,1.682175044870657e-14,True
best_exchange_cw,best_insert_random,78,16.428363230769232,33.91217737179488,-17.483814141025643,17.483814141025643,best_exchange_cw,-41.0056448566138,4.560584399312576e-54,True,0.0,1.682175044870657e-14,True
best_insert_random,best_transpose_cw,78,33.91217737179488,17.267722974358975,16.644454397435897,16.644454397435897,best_transpose_cw,40.5651426330698,1.0102338291911965e-53,True,0.0,1.682175044870657e-14,True
best_insert_random,first_exchange_cw,78,33.91217737179488,17.2743697948718,16.637807576923077,16.637807576923077,first_exchange_cw,40.557762654867894,1.0238532224923679e-53,True,0.0,1.682175044870657e-14,True
best_insert_random,first_transpose_cw,78,33.91217737179488,17.283998025641026,16.62817934615385,16.62817934615385,first_transpose_cw,40.54919686726924,1.0398942650164034e-53,True,0.0,1.682175044870657e-14,True
best_insert_random,first_insert_cw,78,33.91217737179488,17.274449602564108,16.63772776923077,16.63772776923077,first_insert_cw,40.53108298836347,1.0746589821324657e-53,True,0.0,1.682175044870657e-14,True
best_exchange_cw,best_transpose_random,78,16.428363230769232,34.98381807692308,-18.555454846153847,18.555454846153847,best_exchange_cw,-37.99173842521187,1.2390784919024713e-51,True,0.0,1.682175044870657e-14,True
best_exchange_cw,first_insert_random,78,16.428363230769232,35.21254751282051,-18.784184282051285,18.784184282051285,best_exchange_cw,-37.98672277646374,1.251103166827075e-51,True,0.0,1.682175044870657e-14,True
best_exchange_cw,first_exchange_random,78,16.428363230769232,35.21186474358975,-18.783501512820514,18.783501512820514,best_exchange_cw,-37.97890627624643,1.2700786528260513e-51,True,0.0,1.682175044870657e-14,True
best_insert_cw,best_transpose_random,78,16.640161038461535,34.98381807692308,-18.34365703846154,18.34365703846154,best_insert_cw,-37.96310376151536,1.3093359106297596e-51,True,0.0,1.682175044870657e-14,True
best_insert_cw,first_insert_random,78,16.640161038461535,35.21254751282051,-18.57238647435897,18.57238647435897,best_insert_cw,-37.95696642952114,1.3249117055355172e-51,True,0.0,1.682175044870657e-14,True
best_insert_cw,first_exchange_random,78,16.640161038461535,35.21186474358975,-18.571703705128204,18.571703705128204,best_insert_cw,-37.94742842975647,1.3494911278936572e-51,True,0.0,1.682175044870657e-14,True
best_exchange_cw,first_transpose_random,78,16.428363230769232,35.21622329487179,-18.787860064102567,18.787860064102567,best_exchange_cw,-37.788300767594926,1.8349462998392935e-51,True,0.0,1.682175044870657e-14,True
best_insert_cw,first_transpose_random,78,16.640161038461535,35.21622329487179,-18.576062256410257,18.576062256410257,best_insert_cw,-37.7655865329625,1.9174055615364766e-51,True,0.0,1.682175044870657e-14,True
best_transpose_random,first_exchange_cw,78,34.98381807692308,17.2743697948718,17.709448282051287,17.709448282051287,first_exchange_cw,37.61423651498985,2.571480083124092e-51,True,0.0,1.682175044870657e-14,True
best_transpose_cw,best_transpose_random,78,17.267722974358975,34.98381807692308,-17.716095102564097,17.716095102564097,best_transpose_cw,-37.61374223518099,2.5739506080265637e-51,True,0.0,1.682175044870657e-14,True
best_transpose_random,first_transpose_cw,78,34.98381807692308,17.283998025641026,17.69982005128205,17.69982005128205,first_transpose_cw,37.60603243960227,2.6127984759639445e-51,True,0.0,1.682175044870657e-14,True
best_transpose_cw,first_insert_random,78,17.267722974358975,35.21254751282051,-17.94482453846154,17.94482453846154,best_transpose_cw,-37.59773517480087,2.6552699335531288e-51,True,0.0,1.682175044870657e-14,True
first_exchange_cw,first_insert_random,78,17.2743697948718,35.21254751282051,-17.938177717948722,17.938177717948722,first_exchange_cw,-37.59663411839979,2.6609582267661335e-51,True,0.0,1.682175044870657e-14,True
best_transpose_random,first_insert_cw,78,34.98381807692308,17.274449602564108,17.70936847435897,17.70936847435897,first_insert_cw,37.59603587378888,2.664054056998459e-51,True,0.0,1.682175044870657e-14,True
first_insert_random,first_transpose_cw,78,35.21254751282051,17.283998025641026,17.92854948717949,17.92854948717949,first_transpose_cw,37.59000321380401,2.6954767073475876e-51,True,0.0,1.682175044870657e-14,True
best_transpose_cw,first_exchange_random,78,17.267722974358975,35.21186474358975,-17.944141769230768,17.944141769230768,best_transpose_cw,-37.585997647057376,2.716547737787755e-51,True,0.0,1.682175044870657e-14,True
first_exchange_cw,first_exchange_random,78,17.2743697948718,35.21186474358975,-17.93749494871795,17.93749494871795,first_exchange_cw,-37.58499583377402,2.7218437300103277e-51,True,0.0,1.682175044870657e-14,True
first_insert_cw,first_insert_random,78,17.274449602564108,35.21254751282051,-17.938097910256413,17.938097910256413,first_insert_cw,-37.57869160007744,2.755411148928618e-51,True,0.0,1.682175044870657e-14,True
first_exchange_random,first_transpose_cw,78,35.21186474358975,17.283998025641026,17.92786671794872,17.92786671794872,first_transpose_cw,37.578236435869705,2.757850868502649e-51,True,0.0,1.682175044870657e-14,True
first_exchange_random,first_insert_cw,78,35.21186474358975,17.274449602564108,17.937415141025642,17.937415141025642,first_insert_cw,37.56702544529278,2.818637960072604e-51,True,0.0,1.682175044870657e-14,True
best_transpose_cw,first_transpose_random,78,17.267722974358975,35.21622329487179,-17.948500320512824,17.948500320512824,best_transpose_cw,-37.40835436289861,3.839914694104926e-51,True,0.0,1.682175044870657e-14,True
first_exchange_cw,first_transpose_random,78,17.2743697948718,35.21622329487179,-17.941853499999997,17.941853499999997,first_exchange_cw,-37.40725388305592,3.848173889306855e-51,True,0.0,1.682175044870657e-14,True
first_transpose_cw,first_transpose_random,78,17.283998025641026,35.21622329487179,-17.932225269230774,17.932225269230774,first_transpose_cw,-37.40003713870636,3.902783644923336e-51,True,0.0,1.682175044870657e-14,True
first_insert_cw,first_transpose_random,78,17.274449602564108,35.21622329487179,-17.941773692307695,17.941773692307695,first_insert_cw,-37.38856829270703,3.991188314952067e-51,True,0.0,1.682175044870657e-14,True
best_insert_cw,first_transpose_cw,78,16.640161038461535,17.283998025641026,-0.6438369871794873,0.6438369871794873,best_insert_cw,-21.77843571059173,1.1899023062693342e-34,True,0.0,1.682175044870657e-14,True
best_insert_cw,first_exchange_cw,78,16.640161038461535,17.2743697948718,-0.6342087564102564,0.6342087564102564,best_insert_cw,-21.647044438738956,1.7775417188260488e-34,True,0.0,1.682175044870657e-14,True
best_insert_cw,first_insert_cw,78,16.640161038461535,17.274449602564108,-0.6342885641025641,0.6342885641025641,best_insert_cw,-21.445942874111584,3.296799120857502e-34,True,0.0,1.682175044870657e-14,True
best_insert_cw,best_transpose_cw,78,16.640161038461535,17.267722974358975,-0.6275619358974359,0.6275619358974359,best_insert_cw,-21.44246979816017,3.3322799434673504e-34,True,0.0,1.682175044870657e-14,True
best_exchange_cw,first_transpose_cw,78,16.428363230769232,17.283998025641026,-0.8556347948717947,0.8556347948717947,best_exchange_cw,-20.62986955948105,4.221979230242526e-33,True,0.0,1.682175044870657e-14,True
best_exchange_cw,first_exchange_cw,78,16.428363230769232,17.2743697948718,-0.8460065641025643,0.8460065641025643,best_exchange_cw,-20.55628320803548,5.331876808236572e-33,True,0.0,1.682175044870657e-14,True
best_exchange_cw,first_insert_cw,78,16.428363230769232,17.274449602564108,-0.846086371794872,0.846086371794872,best_exchange_cw,-20.48315997905251,6.727547328582592e-33,True,0.0,1.682175044870657e-14,True
best_exchange_cw,best_transpose_cw,78,16.428363230769232,17.267722974358975,-0.8393597435897436,0.8393597435897436,best_exchange_cw,-20.42328448188736,8.141906108970204e-33,True,0.0,1.682175044870657e-14,True
best_exchange_random,best_insert_random,78,33.21370429487178,33.91217737179488,-0.6984730769230773,0.6984730769230773,best_exchange_random,-15.134122567329856,8.825305795416738e-25,True,0.0,1.682175044870657e-14,True
best_exchange_random,first_exchange_random,78,33.21370429487178,35.21186474358975,-1.9981604487179487,1.9981604487179487,best_exchange_random,-14.503748967536701,1.0082771743593724e-23,True,0.0,1.682175044870657e-14,True
best_exchange_random,first_insert_random,78,33.21370429487178,35.21254751282051,-1.998843217948718,1.998843217948718,best_exchange_random,-14.490429567693306,1.0621090105532849e-23,True,0.0,1.682175044870657e-14,True
best_exchange_random,first_transpose_random,78,33.21370429487178,35.21622329487179,-2.0025190000000004,2.0025190000000004,best_exchange_random,-14.275016006277516,2.4709454011046477e-23,True,0.0,1.682175044870657e-14,True
best_insert_random,first_exchange_random,78,33.91217737179488,35.21186474358975,-1.2996873717948716,1.2996873717948716,best_insert_random,-13.667349906950536,2.7608003982743632e-22,True,0.0,1.682175044870657e-14,True
best_insert_random,first_insert_random,78,33.91217737179488,35.21254751282051,-1.3003701410256407,1.3003701410256407,best_insert_random,-13.633941815477236,3.1567935468077517e-22,True,0.0,1.682175044870657e-14,True
best_insert_random,first_transpose_random,78,33.91217737179488,35.21622329487179,-1.3040459230769226,1.3040459230769226,best_insert_random,-13.294643578556498,1.2412714314765415e-21,True,0.0,1.682175044870657e-14,True
best_exchange_random,best_transpose_random,78,33.21370429487178,34.98381807692308,-1.7701137820512831,1.7701137820512831,best_exchange_random,-13.001090315548764,4.104798426060431e-21,True,0.0,1.682175044870657e-14,True
best_insert_random,best_transpose_random,78,33.91217737179488,34.98381807692308,-1.071640705128205,1.071640705128205,best_insert_random,-11.226500068344045,7.014512301634624e-18,True,0.0,1.682175044870657e-14,True
best_transpose_random,first_exchange_random,78,34.98381807692308,35.21186474358975,-0.22804666666666634,0.22804666666666634,best_transpose_random,-8.968365062738854,1.3799344877726108e-13,True,19.0,3.5034233942001436e-14,True
best_transpose_random,first_insert_random,78,34.98381807692308,35.21254751282051,-0.22872943589743563,0.22872943589743563,best_transpose_random,-8.894943361917624,1.9116537673585102e-13,True,31.0,5.543127644823669e-14,True
best_transpose_random,first_transpose_random,78,34.98381807692308,35.21622329487179,-0.23240521794871752,0.23240521794871752,best_transpose_random,-9.221794764941228,4.4845466599533236e-14,True,0.0,7.732733053009578e-14,True
best_transpose_cw,first_transpose_cw,78,17.267722974358975,17.283998025641026,-0.0162750512820513,0.0162750512820513,best_transpose_cw,-5.744316873738845,1.7515595847145265e-07,True,0.0,1.1325002193757658e-13,True
best_exchange_cw,best_insert_cw,78,16.428363230769232,16.640161038461535,-0.2117978076923077,0.2117978076923077,best_exchange_cw,-10.826017034488384,3.93978084720492e-17,True,89.0,4.845541796537652e-13,True
best_transpose_cw,first_insert_cw,78,17.267722974358975,17.274449602564108,-0.006726628205128189,0.006726628205128189,best_transpose_cw,-1.2997223306657164,0.1975737785209225,False,520.0,2.962147846849339e-06,True
best_transpose_cw,first_exchange_cw,78,17.267722974358975,17.2743697948718,-0.006646820512820535,0.006646820512820535,best_transpose_cw,-1.3878069966997515,0.1691987713258655,False,548.0,6.108670090801617e-06,True
first_insert_random,first_transpose_random,78,35.21254751282051,35.21622329487179,-0.003675782051281874,0.003675782051281874,first_insert_random,-0.2763883896443678,0.7829902861639008,False,336.0,3.415398523067077e-05,True
first_exchange_random,first_transpose_random,78,35.21186474358975,35.21622329487179,-0.004358551282051164,0.004358551282051164,first_exchange_random,-0.3205022254214963,0.7494558151462994,False,430.0,7.588163337936587e-05,True
first_exchange_cw,first_transpose_cw,78,17.2743697948718,17.283998025641026,-0.009628230769230766,0.009628230769230766,first_exchange_cw,-2.470614243221266,0.015698857763071655,True,145.0,0.00012691315615870227,True
first_insert_cw,first_transpose_cw,78,17.274449602564108,17.283998025641026,-0.00954842307692311,0.00954842307692311,first_insert_cw,-2.274245813276166,0.025736044604510074,True,222.0,0.004110032772701963,True
first_exchange_cw,first_insert_cw,78,17.2743697948718,17.274449602564108,-7.980769230765434e-05,7.980769230765434e-05,first_exchange_cw,-0.014718880937742002,0.9882945271595445,False,330.0,0.12871338379943947,False
first_exchange_random,first_insert_random,78,35.21186474358975,35.21254751282051,-0.0006827692307692901,0.0006827692307692901,first_exchange_random,-0.20174896203470005,0.840645031843174,False,635.0,0.25801131709619407,False
