pivoting_rule,neighborhood,initial_solution,avg_deviation_percent,std_deviation_percent,total_time_seconds,avg_time_per_instance_seconds
best,exchange,cw,16.428363230769232,1.476654473826131,9.528577,0.12216124358974359
best,insert,cw,16.64016103846154,1.5104253417551101,19.687603,0.2524051666666667
best,transpose,cw,17.267722974358975,1.613588424648503,0.334854,0.004293
first,exchange,cw,17.274369794871795,1.6111335021867774,0.22891,0.00293474358974359
first,insert,cw,17.274449602564104,1.6129972401667527,0.354285,0.004542115384615385
first,transpose,cw,17.283998025641026,1.6149627824169421,0.207048,0.0026544615384615387
best,exchange,random,33.213704294871796,3.430175703854557,8.95035,0.11474807692307692
best,insert,random,33.912177371794876,3.6823435131656796,18.467649,0.2367647307692308
best,transpose,random,34.98381807692308,4.20948471415589,0.11,0.0014102564102564104
first,exchange,random,35.21186474358974,4.26463567197438,0.001878,2.4076923076923076e-05
first,insert,random,35.21254751282051,4.2673611622715475,0.007935,0.00010173076923076923
first,transpose,random,35.216223294871796,4.299505761456186,0.002083,2.6705128205128208e-05
