algorithm_1,algorithm_2,n_instances,mean_delta_1,mean_delta_2,mean_diff_delta_1_minus_2,abs_mean_diff,better_by_mean,t_statistic,p_value_ttest,significant_ttest,wilcoxon_statistic,p_value_wilcoxon,significant_wilcoxon
first_insert_random,first_transpose_cw,78,2.0680414102564106,17.08630648717949,-15.018265076923077,15.018265076923077,first_insert_random,-86.76630437139916,1.4660550916893428e-78,True,0.0,1.682175044870657e-14,True
best_transpose_cw,first_insert_random,78,17.078296538461544,2.0680414102564106,15.01025512820513,15.01025512820513,first_insert_random,86.64080046740861,1.6370852831845868e-78,True,0.0,1.682175044870657e-14,True
best_insert_random,best_transpose_random,78,2.298090051282051,34.096605051282054,-31.798515,31.798515,best_insert_random,-85.4549722598735,4.679956234661177e-78,True,0.0,1.682175044870657e-14,True
best_transpose_random,first_insert_random,78,34.096605051282054,2.0680414102564106,32.02856364102565,32.02856364102565,first_insert_random,85.15713902799816,6.106438769358766e-78,True,0.0,1.682175044870657e-14,True
best_insert_cw,best_transpose_random,78,2.2607516025641026,34.096605051282054,-31.835853448717952,31.835853448717952,best_insert_cw,-84.2526031723614,1.3776840535757405e-77,True,0.0,1.682175044870657e-14,True
best_transpose_random,first_insert_cw,78,34.096605051282054,2.0164418974358975,32.08016315384616,32.08016315384616,first_insert_cw,84.09485400925986,1.5891147267696506e-77,True,0.0,1.682175044870657e-14,True
best_transpose_random,first_exchange_random,78,34.096605051282054,2.8590170384615377,31.237588012820513,31.237588012820513,first_exchange_random,83.55399532727678,2.597857341070736e-77,True,0.0,1.682175044870657e-14,True
best_insert_random,first_transpose_cw,78,2.298090051282051,17.08630648717949,-14.788216435897438,14.788216435897438,best_insert_random,-83.37953151373503,3.046205617353666e-77,True,0.0,1.682175044870657e-14,True
best_insert_random,best_transpose_cw,78,2.298090051282051,17.078296538461544,-14.780206487179486,14.780206487179486,best_insert_random,-83.23182390875839,3.4866615060890134e-77,True,0.0,1.682175044870657e-14,True
best_transpose_random,first_exchange_cw,78,34.096605051282054,2.9659915000000003,31.130613551282057,31.130613551282057,first_exchange_cw,82.44687477224745,7.174796157712686e-77,True,0.0,1.682175044870657e-14,True
best_insert_cw,first_transpose_cw,78,2.2607516025641026,17.08630648717949,-14.82555488461538,14.82555488461538,best_insert_cw,-81.71868309047385,1.4098350730623196e-76,True,0.0,1.682175044870657e-14,True
best_insert_cw,best_transpose_cw,78,2.2607516025641026,17.078296538461544,-14.817544935897432,14.817544935897432,best_insert_cw,-81.58526426533494,1.5965929336424674e-76,True,0.0,1.682175044870657e-14,True
first_exchange_random,first_transpose_cw,78,2.8590170384615377,17.08630648717949,-14.227289448717944,14.227289448717944,first_exchange_random,-81.39588959350974,1.9055792334431507e-76,True,0.0,1.682175044870657e-14,True
first_insert_cw,first_transpose_cw,78,2.0164418974358975,17.08630648717949,-15.069864589743592,15.069864589743592,first_insert_cw,-81.38922208157868,1.9174997989058754e-76,True,0.0,1.682175044870657e-14,True
first_exchange_cw,first_transpose_cw,78,2.9659915000000003,17.08630648717949,-14.120314987179487,14.120314987179487,first_exchange_cw,-81.36232866950391,1.966353164110621e-76,True,0.0,1.682175044870657e-14,True
best_transpose_cw,first_insert_cw,78,17.078296538461544,2.0164418974358975,15.061854641025638,15.061854641025638,first_insert_cw,81.26946226952316,2.144955205395884e-76,True,0.0,1.682175044870657e-14,True
best_transpose_cw,first_exchange_random,78,17.078296538461544,2.8590170384615377,14.219279499999999,14.219279499999999,first_exchange_random,81.24981276300053,2.1848042599309723e-76,True,0.0,1.682175044870657e-14,True
best_transpose_cw,first_exchange_cw,78,17.078296538461544,2.9659915000000003,14.112305038461537,14.112305038461537,first_exchange_cw,81.20089620440311,2.287295149368199e-76,True,0.0,1.682175044870657e-14,True
best_exchange_random,best_transpose_random,78,3.6359222692307696,34.096605051282054,-30.46068278205129,30.46068278205129,best_exchange_random,-80.37278621507222,4.990729636722964e-76,True,0.0,1.682175044870657e-14,True
best_exchange_cw,best_transpose_random,78,3.846478589743588,34.096605051282054,-30.250126461538468,30.250126461538468,best_exchange_cw,-78.47526611426484,3.0733944341842416e-75,True,0.0,1.682175044870657e-14,True
