pivoting_rule,neighborhood,initial_solution,avg_deviation_percent,std_deviation_percent,total_time_seconds,avg_time_per_instance_seconds
first,insert,cw,2.0164418974358975,0.4108913949092665,125.954386,1.6147998205128204
first,insert,random,2.06804141025641,0.43977475340561833,189.393268,2.428118820512821
best,insert,cw,2.2607516025641026,0.40648675451171024,34.537071,0.44278296153846153
best,insert,random,2.2980900512820512,0.4403158773204061,38.955614,0.4994309487179487
first,exchange,random,2.8590170384615385,0.4933547731169572,217.268761,2.785496935897436
first,exchange,cw,2.9659915000000003,0.46131677833971496,173.13952,2.2197374358974358
best,exchange,random,3.6359222692307696,0.6030315716570619,33.634012,0.43120528205128206
best,exchange,cw,3.84647858974359,0.6053625636801586,31.296686,0.4012395641025641
best,transpose,cw,17.07829653846154,1.6065251628666712,0.219092,0.002808871794871795
first,transpose,cw,17.08630648717949,1.6041599294816489,0.268443,0.003441576923076923
best,transpose,random,34.096605051282054,3.337478909314766,0.00307,3.9358974358974355e-05
first,transpose,random,34.45631512820513,3.8875643473120993,0.626638,0.008033820512820514
