instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds
N-tiw56r67_250,first,transpose,random,5289658,3608802,31.776270,0.624368
N-tiw56r67_250,first,transpose,cw,5289658,4425681,16.333324,0.009431
N-tiw56r67_250,first,exchange,random,5289658,5132343,2.974011,6.653031
N-tiw56r67_250,first,exchange,cw,5289658,5151351,2.614668,4.316734
N-tiw56r67_250,first,insert,random,5289658,5180041,2.072289,4.714989
N-tiw56r67_250,first,insert,cw,5289658,5202712,1.643698,3.378077
N-tiw56r67_250,best,transpose,random,5289658,3642642,31.136531,0.000064
N-tiw56r67_250,best,transpose,cw,5289658,4424654,16.352740,0.004206
N-tiw56r67_250,best,exchange,random,5289658,5104850,3.493761,0.790587
N-tiw56r67_250,best,exchange,cw,5289658,5072893,4.097902,0.724741
N-tiw56r67_250,best,insert,random,5289658,5184873,1.980941,0.888547
N-tiw56r67_250,best,insert,cw,5289658,5202894,1.640257,0.877468
N-tiw56r66_150,first,transpose,random,1940755,1276655,34.218642,0.000032
N-tiw56r66_150,first,transpose,cw,1940755,1613234,16.875958,0.001216
N-tiw56r66_150,first,exchange,random,1940755,1865093,3.898586,0.366352
N-tiw56r66_150,first,exchange,cw,1940755,1880077,3.126515,0.266285
N-tiw56r66_150,first,insert,random,1940755,1894677,2.374231,0.370255
N-tiw56r66_150,first,insert,cw,1940755,1889917,2.619496,0.238417
N-tiw56r66_150,best,transpose,random,1940755,1299543,33.039307,0.000018
N-tiw56r66_150,best,transpose,cw,1940755,1612635,16.906822,0.000902
N-tiw56r66_150,best,exchange,random,1940755,1864146,3.947381,0.063064
N-tiw56r66_150,best,exchange,cw,1940755,1849858,4.683590,0.065613
N-tiw56r66_150,best,insert,random,1940755,1902992,1.945789,0.103294
N-tiw56r66_150,best,insert,cw,1940755,1892893,2.466154,0.088860
N-tiw56n58_250,first,transpose,random,2906657,2027982,30.229745,0.000035
N-tiw56n58_250,first,transpose,cw,2906657,2459921,15.369409,0.004715
N-tiw56n58_250,first,exchange,random,2906657,2828127,2.701729,5.029714
N-tiw56n58_250,first,exchange,cw,2906657,2822473,2.896248,4.355673
N-tiw56n58_250,first,insert,random,2906657,2851538,1.896302,3.981693
N-tiw56n58_250,first,insert,cw,2906657,2856559,1.723561,3.079146
N-tiw56n58_250,best,transpose,random,2906657,2008634,30.895389,0.000061
N-tiw56n58_250,best,transpose,cw,2906657,2460020,15.366003,0.004771
N-tiw56n58_250,best,exchange,random,2906657,2809915,3.328291,0.824815
N-tiw56n58_250,best,exchange,cw,2906657,2781828,4.294590,0.740349
N-tiw56n58_250,best,insert,random,2906657,2852711,1.855947,1.058261
N-tiw56n58_250,best,insert,cw,2906657,2837045,2.394916,0.793901
N-stabu1_150,first,transpose,random,2875732,1817193,36.809376,0.000012
N-stabu1_150,first,transpose,cw,2875732,2371937,17.518844,0.000928
N-stabu1_150,first,exchange,random,2875732,2786434,3.105227,0.500093
N-stabu1_150,first,exchange,cw,2875732,2791692,2.922386,0.367595
N-stabu1_150,first,insert,random,2875732,2816823,2.048487,0.407768
