algorithm_1,algorithm_2,n_instances,mean_delta_1,mean_delta_2,mean_diff_delta_1_minus_2,abs_mean_diff,better_by_mean,t_statistic,p_value_ttest,significant_ttest,wilcoxon_statistic,p_value_wilcoxon,significant_wilcoxon
best_insert_random,best_transpose_random,39,2.2525183333333336,35.10555164102565,-32.8530333076923,32.8530333076923,best_insert_random,-61.75950859272337,9.967299974339776e-40,True,0.0,3.637978807091713e-12,True
best_insert_cw,best_transpose_random,39,2.2446925897435897,35.10555164102565,-32.86085905128205,32.86085905128205,best_insert_cw,-59.25355317445828,4.735045044729396e-39,True,0.0,3.637978807091713e-12,True
best_insert_random,best_transpose_cw,39,2.2525183333333336,17.81729858974359,-15.564780256410259,15.564780256410259,best_insert_random,-57.693112618078594,1.2913346092185345e-38,True,0.0,3.637978807091713e-12,True
best_exchange_random,best_transpose_random,39,3.789291358974359,35.10555164102565,-31.31626028205128,31.31626028205128,best_exchange_random,-55.92550602002396,4.1566491869605064e-38,True,0.0,3.637978807091713e-12,True
best_insert_cw,best_transpose_cw,39,2.2446925897435897,17.81729858974359,-15.572605999999997,15.572605999999997,best_insert_cw,-54.317643317638286,1.2426976368807666e-37,True,0.0,3.637978807091713e-12,True
best_exchange_cw,best_transpose_random,39,3.9562996153846157,35.10555164102565,-31.149252025641026,31.149252025641026,best_exchange_cw,-53.21433520739038,2.6837805117169528e-37,True,0.0,3.637978807091713e-12,True
best_exchange_random,best_transpose_cw,39,3.789291358974359,17.81729858974359,-14.02800723076923,14.02800723076923,best_exchange_random,-48.11004739295628,1.1724811167623673e-35,True,0.0,3.637978807091713e-12,True
best_exchange_cw,best_transpose_cw,39,3.9562996153846157,17.81729858974359,-13.860998974358978,13.860998974358978,best_exchange_cw,-44.002319734462574,3.2857780761189546e-34,True,0.0,3.637978807091713e-12,True
best_transpose_cw,best_transpose_random,39,17.81729858974359,35.10555164102565,-17.28825305128205,17.28825305128205,best_transpose_cw,-28.64109340764281,2.4839935640365178e-27,True,0.0,3.637978807091713e-12,True
best_exchange_cw,best_insert_cw,39,3.9562996153846157,2.2446925897435897,1.7116070256410256,1.7116070256410256,best_insert_cw,16.72879080025703,4.0642443833252807e-19,True,0.0,3.637978807091713e-12,True
best_exchange_random,best_insert_random,39,3.789291358974359,2.2525183333333336,1.536773025641026,1.536773025641026,best_insert_random,15.20727015118642,9.617241727981557e-18,True,0.0,3.637978807091713e-12,True
best_exchange_random,best_insert_cw,39,3.789291358974359,2.2446925897435897,1.5445987692307692,1.5445987692307692,best_insert_cw,14.959837470985825,1.6443307076345447e-17,True,0.0,3.637978807091713e-12,True
best_exchange_cw,best_insert_random,39,3.9562996153846157,2.2525183333333336,1.7037812820512819,1.7037812820512819,best_insert_random,13.539455117207714,4.059635896127193e-16,True,0.0,3.637978807091713e-12,True
best_exchange_cw,best_exchange_random,39,3.9562996153846157,3.789291358974359,0.1670082564102564,0.1670082564102564,best_exchange_random,1.3291150950641606,0.1917353841810668,False,294.0,0.18473796396210673,False
best_insert_cw,best_insert_random,39,2.2446925897435897,2.2525183333333336,-0.007825743589743596,0.007825743589743596,best_insert_cw,-0.0886956637691661,0.9297895886116683,False,371.0,0.7985112731585104,False
