instance,order,best_known,cost,delta_percent,time_seconds
N-tiw56r67_250,order1,5289658,5181358,2.047391,2.901623
N-tiw56r67_250,order2,5289658,5194932,1.790777,1.692997
N-tiw56r66_150,order1,1940755,1905311,1.826300,0.173024
N-tiw56r66_150,order2,1940755,1899565,2.122370,0.137035
N-tiw56n58_250,order1,2906657,2835798,2.437818,1.753564
N-tiw56n58_250,order2,2906657,2860022,1.604420,1.807641
N-stabu1_150,order1,2875732,2841290,1.197678,0.211373
N-stabu1_150,order2,2875732,2844364,1.090783,0.171573
N-tiw56r67_150,order1,2056347,2017057,1.910670,0.179281
N-tiw56r67_150,order2,2056347,2009699,2.268489,0.137677
N-tiw56n72_150,order1,4135907,4063343,1.754488,0.151517
N-tiw56n72_150,order2,4135907,4058852,1.863074,0.134770
N-t65l11xx_250,order1,666254,648467,2.669703,2.259412
N-t65l11xx_250,order2,666254,652869,2.008994,1.304025
N-stabu3_150,order1,4510445,4431958,1.740117,0.193044
N-stabu3_150,order2,4510445,4434448,1.684911,0.166308
N-t65n11xx_150,order1,550733,537261,2.446194,0.176599
N-t65n11xx_150,order2,550733,538716,2.182001,0.127851
N-tiw56n67_150,order1,2372926,2335992,1.556475,0.169699
N-tiw56n67_150,order2,2372926,2338497,1.450909,0.127008
N-t70d11xn_250,order1,15207063,14929022,1.828368,2.233472
N-t70d11xn_250,order2,15207063,14941713,1.744913,1.899190
N-t65d11xx_150,order1,3559347,3474470,2.384623,0.155681
N-t65d11xx_150,order2,3559347,3460336,2.781718,0.148621
N-stabu3_250,order1,11900315,11581170,2.681820,2.210917
N-stabu3_250,order2,11900315,11700277,1.680947,1.797766
N-stabu2_150,order1,4327538,4242170,1.972669,0.211730
N-stabu2_150,order2,4327538,4253640,1.707622,0.158881
N-t59f11xx_250,order1,3993006,3900332,2.320908,2.062906
N-t59f11xx_250,order2,3993006,3895377,2.445000,1.442123
N-tiw56n66_250,order1,5370404,5257866,2.095522,2.103873
N-tiw56n66_250,order2,5370404,5219360,2.812526,1.744234
N-stabu2_250,order1,11500448,11196141,2.646045,2.145480
N-stabu2_250,order2,11500448,11308755,1.666831,1.996924
N-t75n11xx_250,order1,4524942,4421895,2.277311,2.676724
N-t75n11xx_250,order2,4524942,4458843,1.460770,2.082915
N-be75eec_250,order1,8893533,8733894,1.795001,2.654522
N-be75eec_250,order2,8893533,8734809,1.784713,1.824807
N-tiw56n58_150,order1,1155392,1129647,2.228248,0.172569
N-tiw56n58_150,order2,1155392,1137841,1.519052,0.129630
N-t70l11xx_150,order1,436862,428154,1.993307,0.265652
N-t70l11xx_150,order2,436862,424978,2.720310,0.123358
N-tiw56r58_250,order1,3060323,2994446,2.152616,2.181302
N-tiw56r58_250,order2,3060323,2997969,2.037497,1.597322
N-t75k11xx_250,order1,4093849,4017927,1.854538,2.717414
N-t75k11xx_250,order2,4093849,4004161,2.190799,1.698210
N-be75oi_250,order1,5910096,5784077,2.132267,2.943771
N-be75oi_250,order2,5910096,5781765,2.171386,1.616655
N-t75k11xx_150,order1,1541596,1511823,1.931310,0.192006
N-t75k11xx_150,order2,1541596,1518465,1.500458,0.146866
N-t59d11xx_250,order1,3841167,3771161,1.822519,1.785182
N-t59d11xx_250,order2,3841167,3761250,2.080540,1.601939
N-t75d11xx_250,order1,25017059,24635388,1.525643,2.350370
N-t75d11xx_250,order2,25017059,24626842,1.559804,1.712693
N-tiw56r54_150,order1,958192,930689,2.870302,0.144765
N-tiw56r54_150,order2,958192,945857,1.287320,0.119450
N-tiw56n54_250,order1,2098726,2050489,2.298394,1.815874
N-tiw56n54_250,order2,2098726,2052197,2.217012,1.547236
N-t75d11xx_150,order1,9642140,9421969,2.283425,0.163103
N-t75d11xx_150,order2,9642140,9450183,1.990813,0.144853
N-be75np_250,order1,17814072,17484069,1.852485,2.004866
N-be75np_250,order2,17814072,17440889,2.094878,1.534640
N-t75n11xx_150,order1,1743094,1709861,1.906552,0.204923
N-t75n11xx_150,order2,1743094,1700741,2.429760,0.174632
N-t65d11xx_250,order1,9351696,9136292,2.303368,1.848837
N-t65d11xx_250,order2,9351696,9180740,1.828075,1.525896
N-t65f11xx_150,order1,3159326,3103972,1.752083,0.192961
N-t65f11xx_150,order2,3159326,3098902,1.912560,0.123247
N-tiw56r58_150,order1,1219295,1198582,1.698769,0.152794
N-tiw56r58_150,order2,1219295,1196119,1.900771,0.117560
N-t59f11xx_150,order1,1543733,1525853,1.158231,0.184933
N-t59f11xx_150,order2,1543733,1516282,1.778222,0.131003
N-tiw56r54_250,order1,2387349,2342365,1.884266,2.176691
N-tiw56r54_250,order2,2387349,2347515,1.668545,1.598328
N-t70b11xx_250,order1,25403045,24816613,2.308511,2.600001
N-t70b11xx_250,order2,25403045,24766030,2.507632,1.727454
N-t70d11xx_150,order1,6174178,6025574,2.406863,0.145250
N-t70d11xx_150,order2,6174178,6082415,1.486238,0.158593
N-tiw56n66_150,order1,2107619,2057072,2.398299,0.134953
N-tiw56n66_150,order2,2107619,2071245,1.725834,0.121100
N-tiw56r72_150,order1,2823758,2765161,2.075142,0.208251
N-tiw56r72_150,order2,2823758,2740384,2.952590,0.113932
N-tiw56n67_250,order1,6324858,6233647,1.442104,2.199052
N-tiw56n67_250,order2,6324858,6225103,1.577190,1.528305
N-t70d11xn_150,order1,5825147,5717526,1.847524,0.195116
N-t70d11xn_150,order2,5825147,5725499,1.710652,0.142942
N-tiw56n62_150,order1,1626921,1592233,2.132126,0.181768
N-tiw56n62_150,order2,1626921,1591811,2.158064,0.104900
N-t65b11xx_150,order1,6453836,6326052,1.979970,0.211736
N-t65b11xx_150,order2,6453836,6352170,1.575280,0.140361
N-t75e11xx_250,order1,106873878,104552011,2.172530,2.075966
N-t75e11xx_250,order2,106873878,104638234,2.091853,1.719193
N-tiw56n62_250,order1,4142745,4058504,2.033458,2.333241
N-tiw56n62_250,order2,4142745,4053124,2.163324,1.544016
N-t70b11xx_150,order1,9647229,9445450,2.091575,0.186020
N-t70b11xx_150,order2,9647229,9403049,2.531089,0.138235
N-t70n11xx_150,order1,948913,921266,2.913544,0.181576
N-t70n11xx_150,order2,948913,925687,2.447643,0.123130
N-be75tot_150,order1,12287707,11996920,2.366487,0.180365
N-be75tot_150,order2,12287707,11972248,2.567273,0.133419
N-tiw56r72_250,order1,7451579,7297534,2.067280,2.002280
N-tiw56r72_250,order2,7451579,7308724,1.917110,1.646342
N-be75oi_150,order1,2246534,2218218,1.260431,0.237568
N-be75oi_150,order2,2246534,2208143,1.708899,0.130128
N-tiw56r66_250,order1,4948414,4841814,2.154226,1.930474
N-tiw56r66_250,order2,4948414,4851997,1.948442,1.686233
N-tiw56n54_150,order1,837945,820953,2.027818,0.137342
N-tiw56n54_150,order2,837945,824267,1.632327,0.117036
N-stabu1_250,order1,7742444,7576630,2.141623,1.763524
N-stabu1_250,order2,7742444,7607025,1.749047,1.649282
N-t65f11xx_250,order1,8409567,8298599,1.319545,2.684396
N-t65f11xx_250,order2,8409567,8234022,2.087444,1.652597
N-t70n11xx_250,order1,2444390,2384790,2.438236,2.544068
N-t70n11xx_250,order2,2444390,2395503,1.999967,1.731474
N-t59n11xx_150,order1,318960,312944,1.886130,0.199023
N-t59n11xx_150,order2,318960,311976,2.189616,0.150320
N-t70d11xx_250,order1,16040574,15735138,1.904146,2.268474
N-t70d11xx_250,order2,16040574,15784245,1.598004,1.527902
N-t74d11xx_250,order1,24430250,23952518,1.955494,2.016322
N-t74d11xx_250,order2,24430250,23869856,2.293853,1.445882
N-t69r11xx_150,order1,11855957,11525073,2.790867,0.229119
N-t69r11xx_150,order2,11855957,11490270,3.084416,0.143383
N-t70f11xx_150,order1,5150097,5033936,2.255511,0.206628
N-t70f11xx_150,order2,5150097,5029249,2.346519,0.124020
N-t74d11xx_150,order1,9396044,9223198,1.839561,0.219496
N-t74d11xx_150,order2,9396044,9213287,1.945042,0.104790
N-t59n11xx_250,order1,825608,805620,2.421004,2.143370
N-t59n11xx_250,order2,825608,805208,2.470906,1.666047
N-be75eec_150,order1,3482828,3420622,1.786077,0.209203
N-be75eec_150,order2,3482828,3409495,2.105559,0.146360
N-be75np_150,order1,7174325,7039834,1.874615,0.197832
N-be75np_150,order2,7174325,7037060,1.913281,0.134004
N-t65n11xx_250,order1,1429362,1400855,1.994386,2.444295
N-t65n11xx_250,order2,1429362,1398520,2.157746,1.558651
N-t70l11xx_250,order1,1113128,1092300,1.871124,2.715071
N-t70l11xx_250,order2,1113128,1092070,1.891786,1.464371
N-t65l11xx_150,order1,253396,250490,1.146822,0.224705
N-t65l11xx_150,order2,253396,249587,1.503181,0.116346
N-t59b11xx_150,order1,3239550,3138065,3.132688,0.185885
N-t59b11xx_150,order2,3239550,3158065,2.515318,0.125616
N-t69r11xx_250,order1,31815927,30839952,3.067567,2.289498
N-t69r11xx_250,order2,31815927,31068750,2.348437,1.994425
N-t59d11xx_150,order1,1462697,1441714,1.434542,0.190906
N-t59d11xx_150,order2,1462697,1430961,2.169691,0.136101
N-t75e11xx_150,order1,41570193,40496465,2.582928,0.167711
N-t75e11xx_150,order2,41570193,40303354,3.047470,0.123079
N-t65b11xx_250,order1,17273996,16937447,1.948298,2.008010
N-t65b11xx_250,order2,17273996,16889083,2.228280,1.722585
N-tiw56n72_250,order1,11149706,10987412,1.455590,2.109405
N-tiw56n72_250,order2,11149706,11014874,1.209287,1.650259
N-t70f11xx_250,order1,13586135,13255959,2.430242,2.040547
N-t70f11xx_250,order2,13586135,13356888,1.687360,1.523841
N-t59b11xx_250,order1,8411910,8221740,2.260723,2.146499
N-t59b11xx_250,order2,8411910,8284120,1.519156,1.664862
N-be75tot_250,order1,30958609,30312371,2.087426,2.006362
N-be75tot_250,order2,30958609,30377588,1.876767,1.811334
