instance,method,algorithm,best_known,cost,delta_percent,time_seconds
N-tiw56r66_150,II,II_best_insert_cw,1940755,1892893,2.466154,0.08886
N-stabu1_150,II,II_best_insert_cw,2875732,2820215,1.930535,0.101848
N-tiw56r67_150,II,II_best_insert_cw,2056347,2015860,1.96888,0.086903
N-tiw56n72_150,II,II_best_insert_cw,4135907,4024242,2.699891,0.086619
N-stabu3_150,II,II_best_insert_cw,4510445,4427867,1.830817,0.083088
N-t65n11xx_150,II,II_best_insert_cw,550733,537031,2.487957,0.085581
N-tiw56n67_150,II,II_best_insert_cw,2372926,2305812,2.828323,0.089941
N-t65d11xx_150,II,II_best_insert_cw,3559347,3470305,2.501639,0.083049
N-stabu2_150,II,II_best_insert_cw,4327538,4247598,1.84724,0.088467
N-tiw56n58_150,II,II_best_insert_cw,1155392,1128121,2.360324,0.092688
N-t70l11xx_150,II,II_best_insert_cw,436862,421948,3.413893,0.083426
N-t75k11xx_150,II,II_best_insert_cw,1541596,1509805,2.062213,0.103588
N-tiw56r54_150,II,II_best_insert_cw,958192,939999,1.89868,0.095362
N-t75d11xx_150,II,II_best_insert_cw,9642140,9422568,2.277212,0.091393
N-t75n11xx_150,II,II_best_insert_cw,1743094,1696529,2.671399,0.108913
N-t65f11xx_150,II,II_best_insert_cw,3159326,3085856,2.325496,0.073449
N-tiw56r58_150,II,II_best_insert_cw,1219295,1191670,2.265654,0.08409
N-t59f11xx_150,II,II_best_insert_cw,1543733,1503917,2.579202,0.073937
N-t70d11xx_150,II,II_best_insert_cw,6174178,6053715,1.951078,0.085835
N-tiw56n66_150,II,II_best_insert_cw,2107619,2057153,2.394456,0.07739
N-tiw56r72_150,II,II_best_insert_cw,2823758,2755797,2.406757,0.086148
N-t70d11xn_150,II,II_best_insert_cw,5825147,5686328,2.383099,0.078127
N-tiw56n62_150,II,II_best_insert_cw,1626921,1589149,2.321686,0.085312
N-t65b11xx_150,II,II_best_insert_cw,6453836,6350136,1.606796,0.088927
N-t70b11xx_150,II,II_best_insert_cw,9647229,9486371,1.667401,0.089446
N-t70n11xx_150,II,II_best_insert_cw,948913,921403,2.899107,0.074091
N-be75tot_150,II,II_best_insert_cw,12287707,12081880,1.675064,0.102617
N-be75oi_150,II,II_best_insert_cw,2246534,2207033,1.758309,0.095772
N-tiw56n54_150,II,II_best_insert_cw,837945,820974,2.025312,0.080995
N-t59n11xx_150,II,II_best_insert_cw,318960,311957,2.195573,0.094348
N-t69r11xx_150,II,II_best_insert_cw,11855957,11512733,2.89495,0.097011
N-t70f11xx_150,II,II_best_insert_cw,5150097,5012967,2.662668,0.086045
N-t74d11xx_150,II,II_best_insert_cw,9396044,9180435,2.294678,0.071968
N-be75eec_150,II,II_best_insert_cw,3482828,3426444,1.618914,0.0892
N-be75np_150,II,II_best_insert_cw,7174325,6993124,2.525687,0.0816
N-t65l11xx_150,II,II_best_insert_cw,253396,249784,1.425437,0.08611
N-t59b11xx_150,II,II_best_insert_cw,3239550,3167600,2.220987,0.094673
N-t59d11xx_150,II,II_best_insert_cw,1462697,1428840,2.314697,0.081439
N-t75e11xx_150,II,II_best_insert_cw,41570193,40786659,1.884846,0.077646
N-tiw56r66_150,VND,VND_order2,1940755,1899565,2.12237,0.137035
N-stabu1_150,VND,VND_order2,2875732,2844364,1.090783,0.171573
N-tiw56r67_150,VND,VND_order2,2056347,2009699,2.268489,0.137677
N-tiw56n72_150,VND,VND_order2,4135907,4058852,1.863074,0.13477
N-stabu3_150,VND,VND_order2,4510445,4434448,1.684911,0.166308
N-t65n11xx_150,VND,VND_order2,550733,538716,2.182001,0.127851
N-tiw56n67_150,VND,VND_order2,2372926,2338497,1.450909,0.127008
