instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds,algorithm
N-tiw56r66_150,best,insert,cw,1940755,1892893,2.466154,0.08886,best_insert_cw
N-stabu1_150,best,insert,cw,2875732,2820215,1.930535,0.101848,best_insert_cw
N-tiw56r67_150,best,insert,cw,2056347,2015860,1.96888,0.086903,best_insert_cw
N-tiw56n72_150,best,insert,cw,4135907,4024242,2.699891,0.086619,best_insert_cw
N-stabu3_150,best,insert,cw,4510445,4427867,1.830817,0.083088,best_insert_cw
N-t65n11xx_150,best,insert,cw,550733,537031,2.487957,0.085581,best_insert_cw
N-tiw56n67_150,best,insert,cw,2372926,2305812,2.828323,0.089941,best_insert_cw
N-t65d11xx_150,best,insert,cw,3559347,3470305,2.501639,0.083049,best_insert_cw
N-stabu2_150,best,insert,cw,4327538,4247598,1.84724,0.088467,best_insert_cw
N-tiw56n58_150,best,insert,cw,1155392,1128121,2.360324,0.092688,best_insert_cw
N-t70l11xx_150,best,insert,cw,436862,421948,3.413893,0.083426,best_insert_cw
N-t75k11xx_150,best,insert,cw,1541596,1509805,2.062213,0.103588,best_insert_cw
N-tiw56r54_150,best,insert,cw,958192,939999,1.89868,0.095362,best_insert_cw
N-t75d11xx_150,best,insert,cw,9642140,9422568,2.277212,0.091393,best_insert_cw
N-t75n11xx_150,best,insert,cw,1743094,1696529,2.671399,0.108913,best_insert_cw
N-t65f11xx_150,best,insert,cw,3159326,3085856,2.325496,0.073449,best_insert_cw
N-tiw56r58_150,best,insert,cw,1219295,1191670,2.265654,0.08409,best_insert_cw
N-t59f11xx_150,best,insert,cw,1543733,1503917,2.579202,0.073937,best_insert_cw
N-t70d11xx_150,best,insert,cw,6174178,6053715,1.951078,0.085835,best_insert_cw
N-tiw56n66_150,best,insert,cw,2107619,2057153,2.394456,0.07739,best_insert_cw
N-tiw56r72_150,best,insert,cw,2823758,2755797,2.406757,0.086148,best_insert_cw
N-t70d11xn_150,best,insert,cw,5825147,5686328,2.383099,0.078127,best_insert_cw
N-tiw56n62_150,best,insert,cw,1626921,1589149,2.321686,0.085312,best_insert_cw
N-t65b11xx_150,best,insert,cw,6453836,6350136,1.606796,0.088927,best_insert_cw
N-t70b11xx_150,best,insert,cw,9647229,9486371,1.667401,0.089446,best_insert_cw
N-t70n11xx_150,best,insert,cw,948913,921403,2.899107,0.074091,best_insert_cw
N-be75tot_150,best,insert,cw,12287707,12081880,1.675064,0.102617,best_insert_cw
N-be75oi_150,best,insert,cw,2246534,2207033,1.758309,0.095772,best_insert_cw
N-tiw56n54_150,best,insert,cw,837945,820974,2.025312,0.080995,best_insert_cw
N-t59n11xx_150,best,insert,cw,318960,311957,2.195573,0.094348,best_insert_cw
N-t69r11xx_150,best,insert,cw,11855957,11512733,2.89495,0.097011,best_insert_cw
N-t70f11xx_150,best,insert,cw,5150097,5012967,2.662668,0.086045,best_insert_cw
N-t74d11xx_150,best,insert,cw,9396044,9180435,2.294678,0.071968,best_insert_cw
N-be75eec_150,best,insert,cw,3482828,3426444,1.618914,0.0892,best_insert_cw
N-be75np_150,best,insert,cw,7174325,6993124,2.525687,0.0816,best_insert_cw
N-t65l11xx_150,best,insert,cw,253396,249784,1.425437,0.08611,best_insert_cw
N-t59b11xx_150,best,insert,cw,3239550,3167600,2.220987,0.094673,best_insert_cw
N-t59d11xx_150,best,insert,cw,1462697,1428840,2.314697,0.081439,best_insert_cw
N-t75e11xx_150,best,insert,cw,41570193,40786659,1.884846,0.077646,best_insert_cw
