instance,order,best_known,cost,delta_percent,time_seconds
N-tiw56r66_150,order2,1940755,1899565,2.12237,0.137035
N-stabu1_150,order2,2875732,2844364,1.090783,0.171573
N-tiw56r67_150,order2,2056347,2009699,2.268489,0.137677
N-tiw56n72_150,order2,4135907,4058852,1.863074,0.13477
N-stabu3_150,order2,4510445,4434448,1.684911,0.166308
N-t65n11xx_150,order2,550733,538716,2.182001,0.127851
N-tiw56n67_150,order2,2372926,2338497,1.450909,0.127008
N-t65d11xx_150,order2,3559347,3460336,2.781718,0.148621
N-stabu2_150,order2,4327538,4253640,1.707622,0.158881
N-tiw56n58_150,order2,1155392,1137841,1.519052,0.12963
N-t70l11xx_150,order2,436862,424978,2.72031,0.123358
N-t75k11xx_150,order2,1541596,1518465,1.500458,0.146866
N-tiw56r54_150,order2,958192,945857,1.28732,0.11945
N-t75d11xx_150,order2,9642140,9450183,1.990813,0.144853
N-t75n11xx_150,order2,1743094,1700741,2.42976,0.174632
N-t65f11xx_150,order2,3159326,3098902,1.91256,0.123247
N-tiw56r58_150,order2,1219295,1196119,1.900771,0.11756
N-t59f11xx_150,order2,1543733,1516282,1.778222,0.131003
N-t70d11xx_150,order2,6174178,6082415,1.486238,0.158593
N-tiw56n66_150,order2,2107619,2071245,1.725834,0.1211
N-tiw56r72_150,order2,2823758,2740384,2.95259,0.113932
N-t70d11xn_150,order2,5825147,5725499,1.710652,0.142942
N-tiw56n62_150,order2,1626921,1591811,2.158064,0.1049
N-t65b11xx_150,order2,6453836,6352170,1.57528,0.140361
N-t70b11xx_150,order2,9647229,9403049,2.531089,0.138235
N-t70n11xx_150,order2,948913,925687,2.447643,0.12313
N-be75tot_150,order2,12287707,11972248,2.567273,0.133419
N-be75oi_150,order2,2246534,2208143,1.708899,0.130128
N-tiw56n54_150,order2,837945,824267,1.632327,0.117036
N-t59n11xx_150,order2,318960,311976,2.189616,0.15032
N-t69r11xx_150,order2,11855957,11490270,3.084416,0.143383
N-t70f11xx_150,order2,5150097,5029249,2.346519,0.12402
N-t74d11xx_150,order2,9396044,9213287,1.945042,0.10479
N-be75eec_150,order2,3482828,3409495,2.105559,0.14636
N-be75np_150,order2,7174325,7037060,1.913281,0.134004
N-t65l11xx_150,order2,253396,249587,1.503181,0.116346
N-t59b11xx_150,order2,3239550,3158065,2.515318,0.125616
N-t59d11xx_150,order2,1462697,1430961,2.169691,0.136101
N-t75e11xx_150,order2,41570193,40303354,3.04747,0.123079
