instance,order,best_known,cost,delta_percent,time_seconds
N-tiw56r66_150,order2,1940755,1911313,1.517038,80.607302
N-stabu1_150,order2,2875732,2834382,1.437895,80.607389
N-tiw56r67_150,order2,2056347,2031106,1.227468,80.605487
N-tiw56n72_150,order2,4135907,4102363,0.811043,80.604362
N-stabu3_150,order2,4510445,4462331,1.066724,80.605945
N-t65n11xx_150,order2,550733,541967,1.591697,80.607126
N-tiw56n67_150,order2,2372926,2338269,1.460518,80.609433
N-t65d11xx_150,order2,3559347,3520511,1.091099,80.604684
N-stabu2_150,order2,4327538,4293354,0.789918,80.605885
N-tiw56n58_150,order2,1155392,1136979,1.593658,80.607032
N-t70l11xx_150,order2,436862,435460,0.320925,80.608517
N-t75k11xx_150,order2,1541596,1523438,1.177870,80.605646
N-tiw56r54_150,order2,958192,945818,1.291390,80.607963
N-t75d11xx_150,order2,9642140,9439738,2.099140,80.604038
N-t75n11xx_150,order2,1743094,1718598,1.405317,80.605639
N-t65f11xx_150,order2,3159326,3124301,1.108623,80.607392
N-tiw56r58_150,order2,1219295,1208795,0.861153,80.606195
N-t59f11xx_150,order2,1543733,1527670,1.040530,80.604915
N-t70d11xx_150,order2,6174178,6059580,1.856085,80.606164
N-tiw56n66_150,order2,2107619,2079680,1.325619,80.605647
N-tiw56r72_150,order2,2823758,2780326,1.538092,80.605931
N-t70d11xn_150,order2,5825147,5748462,1.316447,80.605656
N-tiw56n62_150,order2,1626921,1600915,1.598480,80.607350
N-t65b11xx_150,order2,6453836,6369636,1.304650,80.606714
N-t70b11xx_150,order2,9647229,9566716,0.834571,80.605908
N-t70n11xx_150,order2,948913,942144,0.713343,80.604599
N-be75tot_150,order2,12287707,12142561,1.181229,80.604670
N-be75oi_150,order2,2246534,2237209,0.415084,80.604875
N-tiw56n54_150,order2,837945,828750,1.097327,80.604576
N-t59n11xx_150,order2,318960,316665,0.719526,80.607123
N-t69r11xx_150,order2,11855957,11688164,1.415263,80.606708
N-t70f11xx_150,order2,5150097,5096114,1.048194,80.606540
N-t74d11xx_150,order2,9396044,9278122,1.255018,80.605500
N-be75eec_150,order2,3482828,3446637,1.039127,80.607975
N-be75np_150,order2,7174325,7058778,1.610563,80.604781
N-t65l11xx_150,order2,253396,251639,0.693381,80.604567
N-t59b11xx_150,order2,3239550,3198940,1.253569,80.607102
N-t59d11xx_150,order2,1462697,1438862,1.629524,80.604048
N-t75e11xx_150,order2,41570193,41124565,1.071989,80.606490
