instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds
N-tiw56r66_150,best,transpose,random,1940755,1584406,18.361359,0.007755
N-tiw56r66_150,best,transpose,cw,1940755,1655017,14.723033,0.014244
N-tiw56r66_150,best,exchange,random,1940755,1638116,15.593880,12.157518
N-tiw56r66_150,best,exchange,cw,1940755,1726164,11.057089,10.948456
N-tiw56r66_150,best,insert,random,1940755,1608585,17.115504,13.748263
N-tiw56r66_150,best,insert,cw,1940755,1760523,9.286695,13.717081
N-stabu1_150,best,transpose,random,2875732,2223515,22.680034,0.003700
N-stabu1_150,best,transpose,cw,2875732,2492561,13.324294,0.004638
N-stabu1_150,best,exchange,random,2875732,2553453,11.206851,11.345109
N-stabu1_150,best,exchange,cw,2875732,2443477,15.031129,11.139294
N-stabu1_150,best,insert,random,2875732,2552983,11.223195,13.866801
N-stabu1_150,best,insert,cw,2875732,2582107,10.210444,14.113183
N-tiw56r67_150,best,transpose,random,2056347,1547208,24.759391,0.003753
N-tiw56r67_150,best,transpose,cw,2056347,1777436,13.563421,0.004976
N-tiw56r67_150,best,exchange,random,2056347,1818410,11.570858,11.987099
N-tiw56r67_150,best,exchange,cw,2056347,1762697,14.280177,11.781146
N-tiw56r67_150,best,insert,random,2056347,1750897,14.854011,14.353505
N-tiw56r67_150,best,insert,cw,2056347,1799347,12.497891,14.762303
N-tiw56n72_150,best,transpose,random,4135907,3075039,25.650190,0.003650
N-tiw56n72_150,best,transpose,cw,4135907,3641676,11.949761,0.004668
N-tiw56n72_150,best,exchange,random,4135907,3618243,12.516336,12.048406
N-tiw56n72_150,best,exchange,cw,4135907,3736278,9.662427,12.302232
N-tiw56n72_150,best,insert,random,4135907,3396527,17.877094,14.368899
N-tiw56n72_150,best,insert,cw,4135907,3671881,11.219450,14.304701
N-stabu3_150,best,transpose,random,4510445,3260294,27.716800,0.003766
N-stabu3_150,best,transpose,cw,4510445,3864878,14.312712,0.004695
N-stabu3_150,best,exchange,random,4510445,4118677,8.685795,13.480697
N-stabu3_150,best,exchange,cw,4510445,4189809,7.108744,12.191289
N-stabu3_150,best,insert,random,4510445,4176083,7.413060,14.980551
N-stabu3_150,best,insert,cw,4510445,4197896,6.929449,14.368786
N-t65n11xx_150,best,transpose,random,550733,423308,23.137346,0.003697
N-t65n11xx_150,best,transpose,cw,550733,459467,16.571733,0.004674
N-t65n11xx_150,best,exchange,random,550733,477767,13.248888,11.769381
N-t65n11xx_150,best,exchange,cw,550733,484248,12.072093,11.643164
N-t65n11xx_150,best,insert,random,550733,477931,13.219110,14.242522
N-t65n11xx_150,best,insert,cw,550733,474134,13.908555,14.187501
N-tiw56n67_150,best,transpose,random,2372926,1699054,28.398357,0.004178
N-tiw56n67_150,best,transpose,cw,2372926,2105831,11.255935,0.005245
N-tiw56n67_150,best,exchange,random,2372926,2090627,11.896663,12.547997
N-tiw56n67_150,best,exchange,cw,2372926,2144003,9.647288,11.703295
N-tiw56n67_150,best,insert,random,2372926,2149161,9.429919,14.727703
N-tiw56n67_150,best,insert,cw,2372926,2177517,8.234939,14.756354
N-t65d11xx_150,best,transpose,random,3559347,2859730,19.655768,0.004202
N-t65d11xx_150,best,transpose,cw,3559347,3104601,12.776108,0.005247
N-t65d11xx_150,best,exchange,random,3559347,3098828,12.938300,12.081167
N-t65d11xx_150,best,exchange,cw,3559347,3170163,10.934140,12.558865
N-t65d11xx_150,best,insert,random,3559347,3200368,10.085530,13.858396
N-t65d11xx_150,best,insert,cw,3559347,3098144,12.957517,13.880818
N-stabu2_150,best,transpose,random,4327538,3127066,27.740299,0.003719
N-stabu2_150,best,transpose,cw,4327538,3579824,17.278046,0.004738
N-stabu2_150,best,exchange,random,4327538,3921575,9.380923,11.839911
N-stabu2_150,best,exchange,cw,4327538,3705627,14.371012,11.236108
N-stabu2_150,best,insert,random,4327538,3875928,10.435726,13.798107
N-stabu2_150,best,insert,cw,4327538,3867030,10.641339,13.730069
N-tiw56n58_150,best,transpose,random,1155392,860015,25.565090,0.003804
N-tiw56n58_150,best,transpose,cw,1155392,995625,13.827948,0.004716
N-tiw56n58_150,best,exchange,random,1155392,980722,15.117813,11.248167
N-tiw56n58_150,best,exchange,cw,1155392,1035566,10.371026,11.221590
N-tiw56n58_150,best,insert,random,1155392,1021515,11.587150,13.679693
N-tiw56n58_150,best,insert,cw,1155392,1023526,11.413096,13.568693
N-t70l11xx_150,best,transpose,random,436862,314083,28.104756,0.003841
N-t70l11xx_150,best,transpose,cw,436862,362977,16.912663,0.004835
N-t70l11xx_150,best,exchange,random,436862,365910,16.241284,11.321247
N-t70l11xx_150,best,exchange,cw,436862,372102,14.823903,11.246499
N-t70l11xx_150,best,insert,random,436862,367085,15.972321,13.780662
N-t70l11xx_150,best,insert,cw,436862,400357,8.356186,13.737146
