algorithm_1,algorithm_2,n_instances,mean_delta_1,mean_delta_2,mean_diff_delta_1_minus_2,abs_mean_diff,better_by_mean,t_statistic,p_value_ttest,significant_ttest,wilcoxon_statistic,p_value_wilcoxon,significant_wilcoxon
best_transpose_cw,best_transpose_random,42,16.85444552380952,32.31520807142857,-15.460762547619048,15.460762547619048,best_transpose_cw,-25.71791843250072,6.490518711087764e-27,True,0.0,4.547473508864641e-13,True
best_insert_random,best_transpose_random,40,1.05244475,32.3665013,-31.314056549999997,31.314056549999997,best_insert_random,-57.45154385628182,2.627635930961249e-39,True,0.0,1.8189894035458565e-12,True
best_exchange_random,best_transpose_cw,40,1.68702245,16.877369575,-15.190347124999999,15.190347124999999,best_exchange_random,-55.3796537825175,1.0822339070848632e-38,True,0.0,1.8189894035458565e-12,True
best_insert_cw,best_transpose_random,40,0.943126625,32.3665013,-31.423374675,31.423374675,best_insert_cw,-55.37518027287945,1.0856069640195056e-38,True,0.0,1.8189894035458565e-12,True
best_insert_random,best_transpose_cw,40,1.05244475,16.877369575,-15.824924825,15.824924825,best_insert_random,-54.02970840807222,2.7993720075419055e-38,True,0.0,1.8189894035458565e-12,True
best_insert_cw,best_transpose_cw,40,0.943126625,16.877369575,-15.934242949999998,15.934242949999998,best_insert_cw,-53.76905548049784,3.3721778312050265e-38,True,0.0,1.8189894035458565e-12,True
best_exchange_random,best_transpose_random,40,1.68702245,32.3665013,-30.67947885,30.67947885,best_exchange_random,-53.70220308361768,3.5375973264922913e-38,True,0.0,1.8189894035458565e-12,True
best_exchange_cw,best_transpose_random,40,1.859866475,32.3665013,-30.506634825,30.506634825,best_exchange_cw,-51.31522849302375,2.033799121710735e-37,True,0.0,1.8189894035458565e-12,True
best_exchange_cw,best_transpose_cw,40,1.859866475,16.877369575,-15.017503100000003,15.017503100000003,best_exchange_cw,-50.156943580659615,4.890679973216006e-37,True,0.0,1.8189894035458565e-12,True
best_exchange_random,best_insert_cw,39,1.6859271538461538,0.9372906410256411,0.7486365128205129,0.7486365128205129,best_insert_cw,8.053362580025102,9.69725309111793e-10,True,28.0,5.39512257091701e-09,True
best_exchange_cw,best_insert_cw,39,1.7995746410256408,0.9372906410256411,0.8622840000000002,0.8622840000000002,best_insert_cw,6.742733442076336,5.492881963148627e-08,True,38.0,2.401793608441949e-08,True
best_exchange_cw,best_insert_random,39,1.7995746410256408,1.0356450256410257,0.7639296153846153,0.7639296153846153,best_insert_random,6.590747359832105,8.847041467207419e-08,True,47.0,7.890776032581925e-08,True
best_exchange_random,best_insert_random,39,1.6859271538461538,1.0356450256410257,0.6502821282051281,0.6502821282051281,best_insert_random,6.408745900312508,1.567966802839128e-07,True,58.0,2.9125658329576254e-07,True
best_insert_cw,best_insert_random,39,0.9372906410256411,1.0356450256410257,-0.09835438461538462,0.09835438461538462,best_insert_cw,-1.1379961778049916,0.26224642070760185,False,286.0,0.1501111920842959,False
best_exchange_cw,best_exchange_random,39,1.7995746410256408,1.6859271538461538,0.11364748717948718,0.11364748717948718,best_exchange_random,0.8929767798251549,0.3774901031271001,False,336.0,0.45955750754728797,False
