instance,order,best_known,cost,delta_percent,time_seconds
N-tiw56r66_150,order1,1940755,1914923,1.331028,7.019231
N-tiw56r66_150,order2,1940755,1892867,2.467493,12.010030
N-stabu1_150,order1,2875732,2840013,1.242084,13.680416
N-stabu1_150,order2,2875732,2847149,0.993938,29.079103
N-tiw56r67_150,order1,2056347,2037509,0.916091,22.849983
N-tiw56r67_150,order2,2056347,2028905,1.334502,36.562993
N-tiw56n72_150,order1,4135907,4077337,1.416134,20.476102
N-tiw56n72_150,order2,4135907,4083232,1.273602,21.601580
N-stabu3_150,order1,4510445,4476873,0.744317,12.613217
N-stabu3_150,order2,4510445,4473578,0.817369,13.628904
N-t65n11xx_150,order1,550733,541038,1.760381,14.048146
N-t65n11xx_150,order2,550733,543195,1.368721,17.207418
N-tiw56n67_150,order1,2372926,2336237,1.546150,8.937268
N-tiw56n67_150,order2,2372926,2348645,1.023251,23.801425
N-t65d11xx_150,order1,3559347,3516241,1.211065,12.103063
N-t65d11xx_150,order2,3559347,3517612,1.172547,16.690280
N-stabu2_150,order1,4327538,4292555,0.808381,17.514002
N-stabu2_150,order2,4327538,4262318,1.507092,26.949913
N-tiw56n58_150,order1,1155392,1144559,0.937604,11.810620
N-tiw56n58_150,order2,1155392,1134533,1.805361,12.891947
N-t70l11xx_150,order1,436862,429889,1.596156,12.086478
N-t70l11xx_150,order2,436862,430189,1.527485,10.885864
N-t75k11xx_150,order1,1541596,1530908,0.693307,7.546781
N-t75k11xx_150,order2,1541596,1513511,1.821813,14.708457
N-tiw56r54_150,order1,958192,945612,1.312889,7.026254
N-tiw56r54_150,order2,958192,945497,1.324891,17.992669
N-t75d11xx_150,order1,9642140,9514481,1.323970,10.775754
N-t75d11xx_150,order2,9642140,9512133,1.348321,29.549608
N-t75n11xx_150,order1,1743094,1716302,1.537037,8.259498
N-t75n11xx_150,order2,1743094,1718011,1.438993,10.913972
N-t65f11xx_150,order1,3159326,3111452,1.515323,5.242529
N-t65f11xx_150,order2,3159326,3127213,1.016451,10.956828
N-tiw56r58_150,order1,1219295,1200178,1.567873,9.802983
N-tiw56r58_150,order2,1219295,1209312,0.818752,40.355984
N-t59f11xx_150,order1,1543733,1521927,1.412550,8.008059
N-t59f11xx_150,order2,1543733,1522754,1.358979,19.005491
N-t70d11xx_150,order1,6174178,6094501,1.290488,8.265451
N-t70d11xx_150,order2,6174178,6081812,1.496005,24.836733
N-tiw56n66_150,order1,2107619,2076588,1.472325,10.625768
N-tiw56n66_150,order2,2107619,2076848,1.459989,19.216666
N-tiw56r72_150,order1,2823758,2801006,0.805735,11.938442
N-tiw56r72_150,order2,2823758,2776512,1.673160,27.459419
N-t70d11xn_150,order1,5825147,5765677,1.020918,13.107434
N-t70d11xn_150,order2,5825147,5733094,1.580269,16.166657
N-tiw56n62_150,order1,1626921,1614085,0.788975,11.781950
N-tiw56n62_150,order2,1626921,1592696,2.103667,16.300800
N-t65b11xx_150,order1,6453836,6409351,0.689280,18.115613
N-t65b11xx_150,order2,6453836,6365546,1.368024,20.882308
N-t70b11xx_150,order1,9647229,9558605,0.918647,7.515787
N-t70b11xx_150,order2,9647229,9572579,0.773797,19.093072
N-t70n11xx_150,order1,948913,931232,1.863290,8.340267
N-t70n11xx_150,order2,948913,939826,0.957622,16.019273
N-be75tot_150,order1,12287707,12110889,1.438983,6.771444
N-be75tot_150,order2,12287707,12055542,1.889409,11.701983
N-be75oi_150,order1,2246534,2235213,0.503932,21.923932
N-be75oi_150,order2,2246534,2230571,0.710561,14.541273
N-tiw56n54_150,order1,837945,824079,1.654763,8.993818
N-tiw56n54_150,order2,837945,826996,1.306649,15.170916
N-t59n11xx_150,order1,318960,314965,1.252508,9.055636
N-t59n11xx_150,order2,318960,316526,0.763105,17.312876
N-t69r11xx_150,order1,11855957,11584621,2.288605,17.501876
N-t69r11xx_150,order2,11855957,11627747,1.924855,17.411597
N-t70f11xx_150,order1,5150097,5066530,1.622630,9.139197
N-t70f11xx_150,order2,5150097,5090704,1.153240,14.757912
N-t74d11xx_150,order1,9396044,9281801,1.215863,15.502110
N-t74d11xx_150,order2,9396044,9297728,1.046355,30.279937
N-be75eec_150,order1,3482828,3473301,0.273542,12.857323
N-be75eec_150,order2,3482828,3450489,0.928527,15.189174
N-be75np_150,order1,7174325,7122713,0.719399,20.330251
N-be75np_150,order2,7174325,7074278,1.394514,17.095889
N-t65l11xx_150,order1,253396,251818,0.622741,9.682142
N-t65l11xx_150,order2,253396,251384,0.794014,10.298769
N-t59b11xx_150,order1,3239550,3197320,1.303576,8.652870
N-t59b11xx_150,order2,3239550,3195780,1.351114,18.431845
N-t59d11xx_150,order1,1462697,1450165,0.856773,6.618589
N-t59d11xx_150,order2,1462697,1446348,1.117730,8.309361
N-t75e11xx_150,order1,41570193,41214145,0.856498,12.367771
N-t75e11xx_150,order2,41570193,41112541,1.100914,18.942857
