instance,algorithm,threshold_percent,run_number,hit_time_seconds,cutoff_time_seconds
N-stabu2_150,RII_insert_cw,0.50,0,53.639786,806.040064
N-stabu2_150,RII_insert_cw,0.50,1,188.356539,806.040064
N-stabu2_150,RII_insert_cw,0.50,2,86.563926,806.040064
N-stabu2_150,RII_insert_cw,0.50,3,110.665081,806.040064
N-stabu2_150,RII_insert_cw,0.50,4,47.918828,806.040064
N-stabu2_150,RII_insert_cw,0.50,5,85.252175,806.040064
N-stabu2_150,RII_insert_cw,0.50,6,35.953055,806.040064
N-stabu2_150,RII_insert_cw,0.50,7,4.347043,806.040064
N-stabu2_150,RII_insert_cw,0.50,8,116.438238,806.040064
N-stabu2_150,RII_insert_cw,0.50,9,48.305682,806.040064
N-stabu2_150,RII_insert_cw,0.50,10,79.451780,806.040064
N-stabu2_150,RII_insert_cw,0.50,11,35.165387,806.040064
N-stabu2_150,RII_insert_cw,0.50,12,240.676042,806.040064
N-stabu2_150,RII_insert_cw,0.50,13,65.830839,806.040064
N-stabu2_150,RII_insert_cw,0.50,14,68.387179,806.040064
N-stabu2_150,RII_insert_cw,0.50,15,95.678566,806.040064
N-stabu2_150,RII_insert_cw,0.50,16,134.362682,806.040064
N-stabu2_150,RII_insert_cw,0.50,17,43.453037,806.040064
N-stabu2_150,RII_insert_cw,0.50,18,56.215092,806.040064
N-stabu2_150,RII_insert_cw,0.50,19,16.340527,806.040064
N-stabu2_150,RII_insert_cw,0.50,20,123.455147,806.040064
N-stabu2_150,RII_insert_cw,0.50,21,152.822149,806.040064
N-stabu2_150,RII_insert_cw,0.50,22,199.645529,806.040064
N-stabu2_150,RII_insert_cw,0.50,23,37.980647,806.040064
N-stabu2_150,RII_insert_cw,0.50,24,258.592650,806.040064
N-stabu2_150,VNS_order2,0.50,0,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,1,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,2,7.013154,806.040064
N-stabu2_150,VNS_order2,0.50,3,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,4,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,5,19.393188,806.040064
N-stabu2_150,VNS_order2,0.50,6,5.675331,806.040064
N-stabu2_150,VNS_order2,0.50,7,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,8,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,9,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,10,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,11,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,12,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,13,19.088638,806.040064
N-stabu2_150,VNS_order2,0.50,14,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,15,18.927171,806.040064
N-stabu2_150,VNS_order2,0.50,16,9.613867,806.040064
N-stabu2_150,VNS_order2,0.50,17,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,18,63.250616,806.040064
N-stabu2_150,VNS_order2,0.50,19,3.675639,806.040064
N-stabu2_150,VNS_order2,0.50,20,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,21,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,22,-1.000000,806.040064
N-stabu2_150,VNS_order2,0.50,23,46.604946,806.040064
N-stabu2_150,VNS_order2,0.50,24,26.329976,806.040064
