instance,algorithm,threshold_percent,run_number,hit_time_seconds,cutoff_time_seconds
N-t70l11xx_150,RII_insert_cw,0.50,0,17.495010,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,1,37.576758,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,2,29.115130,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,3,28.881285,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,4,132.411926,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,5,26.338250,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,6,90.842995,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,7,76.985725,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,8,91.509327,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,9,45.600972,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,10,38.249687,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,11,14.108764,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,12,59.369341,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,13,60.796704,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,14,87.441102,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,15,63.217258,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,16,12.351116,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,17,52.219122,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,18,16.158284,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,19,21.145466,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,20,17.356556,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,21,37.851377,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,22,29.846580,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,23,20.253893,806.040064
N-t70l11xx_150,RII_insert_cw,0.50,24,20.164072,806.040064
N-t70l11xx_150,VNS_order2,0.50,0,367.975680,806.040064
N-t70l11xx_150,VNS_order2,0.50,1,-1.000000,806.040064
N-t70l11xx_150,VNS_order2,0.50,2,-1.000000,806.040064
N-t70l11xx_150,VNS_order2,0.50,3,-1.000000,806.040064
N-t70l11xx_150,VNS_order2,0.50,4,-1.000000,806.040064
N-t70l11xx_150,VNS_order2,0.50,5,280.879317,806.040064
N-t70l11xx_150,VNS_order2,0.50,6,-1.000000,806.040064
N-t70l11xx_150,VNS_order2,0.50,7,579.233515,806.040064
N-t70l11xx_150,VNS_order2,0.50,8,103.249753,806.040064
N-t70l11xx_150,VNS_order2,0.50,9,-1.000000,806.040064
N-t70l11xx_150,VNS_order2,0.50,10,-1.000000,806.040064
N-t70l11xx_150,VNS_order2,0.50,11,10.287309,806.040064
N-t70l11xx_150,VNS_order2,0.50,12,19.629465,806.040064
N-t70l11xx_150,VNS_order2,0.50,13,-1.000000,806.040064
N-t70l11xx_150,VNS_order2,0.50,14,458.339487,806.040064
N-t70l11xx_150,VNS_order2,0.50,15,-1.000000,806.040064
N-t70l11xx_150,VNS_order2,0.50,16,90.767669,806.040064
N-t70l11xx_150,VNS_order2,0.50,17,11.791160,806.040064
N-t70l11xx_150,VNS_order2,0.50,18,7.754106,806.040064
N-t70l11xx_150,VNS_order2,0.50,19,91.554549,806.040064
N-t70l11xx_150,VNS_order2,0.50,20,647.619360,806.040064
N-t70l11xx_150,VNS_order2,0.50,21,5.990996,806.040064
N-t70l11xx_150,VNS_order2,0.50,22,-1.000000,806.040064
N-t70l11xx_150,VNS_order2,0.50,23,-1.000000,806.040064
N-t70l11xx_150,VNS_order2,0.50,24,-1.000000,806.040064
