instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds
N-tiw56r66_150,best,transpose,random,1940755,1448234,25.377804,0.012958
N-tiw56r66_150,best,transpose,cw,1940755,1634612,15.774428,0.019005
N-tiw56r66_150,best,exchange,random,1940755,1891054,2.560911,22.001430
N-tiw56r66_150,best,exchange,cw,1940755,1872567,3.513478,20.243164
N-tiw56r66_150,best,insert,random,1940755,1919762,1.081692,23.468069
N-tiw56r66_150,best,insert,cw,1940755,1927786,0.668245,23.452303
N-stabu1_150,best,transpose,random,2875732,1885580,34.431303,0.006042
N-stabu1_150,best,transpose,cw,2875732,2405805,16.341126,0.007217
N-stabu1_150,best,exchange,random,2875732,2780582,3.308723,19.092280
N-stabu1_150,best,exchange,cw,2875732,2800536,2.614847,19.052185
N-stabu1_150,best,insert,random,2875732,2839739,1.251612,23.335880
N-stabu1_150,best,insert,cw,2875732,2854708,0.731083,23.079668
N-tiw56r67_150,best,transpose,random,2056347,1356221,34.047075,0.006123
N-tiw56r67_150,best,transpose,cw,2056347,1748204,14.984971,0.007054
N-tiw56r67_150,best,exchange,random,2056347,2013535,2.081944,19.213320
N-tiw56r67_150,best,exchange,cw,2056347,2005849,2.455714,19.261451
N-tiw56r67_150,best,insert,random,2056347,1940802,5.618945,23.299029
N-tiw56r67_150,best,insert,cw,2056347,2042888,0.654510,23.368949
N-tiw56n72_150,best,transpose,random,4135907,2765264,33.140083,0.006284
N-tiw56n72_150,best,transpose,cw,4135907,3568815,13.711430,0.007040
N-tiw56n72_150,best,exchange,random,4135907,3979682,3.777285,19.331751
N-tiw56n72_150,best,exchange,cw,4135907,3990576,3.513885,19.191490
N-tiw56n72_150,best,insert,random,4135907,4000820,3.266200,23.420601
N-tiw56n72_150,best,insert,cw,4135907,3981622,3.730379,23.534322
N-stabu3_150,best,transpose,random,4510445,3081820,31.673704,0.006116
N-stabu3_150,best,transpose,cw,4510445,3719825,17.528647,0.009341
N-stabu3_150,best,exchange,random,4510445,4163685,7.687933,19.527094
N-stabu3_150,best,exchange,cw,4510445,4434973,1.673272,19.311135
N-stabu3_150,best,insert,random,4510445,4435488,1.661854,23.112284
N-stabu3_150,best,insert,cw,4510445,4462904,1.054020,23.303622
N-t65n11xx_150,best,transpose,random,550733,389366,29.300405,0.006571
N-t65n11xx_150,best,transpose,cw,550733,450683,18.166698,0.009859
N-t65n11xx_150,best,exchange,random,550733,539454,2.047998,19.487974
N-t65n11xx_150,best,exchange,cw,550733,534982,2.860007,19.383361
N-t65n11xx_150,best,insert,random,550733,542765,1.446799,23.266397
N-t65n11xx_150,best,insert,cw,550733,541399,1.694832,23.485180
N-tiw56n67_150,best,transpose,random,2372926,1621594,31.662681,0.006325
N-tiw56n67_150,best,transpose,cw,2372926,2036320,14.185272,0.008627
N-tiw56n67_150,best,exchange,random,2372926,2309953,2.653812,21.058174
N-tiw56n67_150,best,exchange,cw,2372926,2304837,2.869411,21.547258
N-tiw56n67_150,best,insert,random,2372926,2342731,1.272480,24.921321
N-tiw56n67_150,best,insert,cw,2372926,2303249,2.936333,24.462016
N-t65d11xx_150,best,transpose,random,3559347,2534570,28.791152,0.006351
N-t65d11xx_150,best,transpose,cw,3559347,3018849,15.185313,0.009751
N-t65d11xx_150,best,exchange,random,3559347,3471047,2.480792,20.089812
N-t65d11xx_150,best,exchange,cw,3559347,3385784,4.876260,20.043113
N-t65d11xx_150,best,insert,random,3559347,3501602,1.622348,24.477651
N-t65d11xx_150,best,insert,cw,3559347,3500400,1.656118,24.378130
N-stabu2_150,best,transpose,random,4327538,3004430,30.574151,0.006186
N-stabu2_150,best,transpose,cw,4327538,3565200,17.615975,0.009256
N-stabu2_150,best,exchange,random,4327538,4245773,1.889411,20.102606
N-stabu2_150,best,exchange,cw,4327538,4253413,1.712868,20.087838
N-stabu2_150,best,insert,random,4327538,4207769,2.767601,24.556469
N-stabu2_150,best,insert,cw,4327538,4199138,2.967045,24.556176
N-tiw56n58_150,best,transpose,random,1155392,835152,27.717000,0.006029
N-tiw56n58_150,best,transpose,cw,1155392,971922,15.879459,0.009176
N-tiw56n58_150,best,exchange,random,1155392,1116372,3.377209,20.144774
N-tiw56n58_150,best,exchange,cw,1155392,1097942,4.972338,20.300629
N-tiw56n58_150,best,insert,random,1155392,1129720,2.221930,24.356090
N-tiw56n58_150,best,insert,cw,1155392,1138937,1.424192,24.314925
N-t70l11xx_150,best,transpose,random,436862,274864,37.082191,0.007790
N-t70l11xx_150,best,transpose,cw,436862,361610,17.225577,0.014231
N-t70l11xx_150,best,exchange,random,436862,426288,2.420444,21.370407
N-t70l11xx_150,best,exchange,cw,436862,427329,2.182154,20.673559
N-t70l11xx_150,best,insert,random,436862,435931,0.213111,25.161836
N-t70l11xx_150,best,insert,cw,436862,429724,1.633926,24.682511
N-t75k11xx_150,best,transpose,random,1541596,1098176,28.763697,0.006319
N-t75k11xx_150,best,transpose,cw,1541596,1259175,18.320040,0.010167
N-t75k11xx_150,best,exchange,random,1541596,1498393,2.802485,20.079462
N-t75k11xx_150,best,exchange,cw,1541596,1496497,2.925475,19.961894
N-t75k11xx_150,best,insert,random,1541596,1492516,3.183714,24.656229
N-t75k11xx_150,best,insert,cw,1541596,1515006,1.724836,24.679413
N-tiw56r54_150,best,transpose,random,958192,719114,24.950949,0.006178
N-tiw56r54_150,best,transpose,cw,958192,817980,14.632975,0.007207
N-tiw56r54_150,best,exchange,random,958192,925329,3.429688,20.581381
N-tiw56r54_150,best,exchange,cw,958192,925734,3.387421,22.120940
N-tiw56r54_150,best,insert,random,958192,902170,5.846636,26.109775
N-tiw56r54_150,best,insert,cw,958192,939325,1.969021,25.225823
N-t75d11xx_150,best,transpose,random,9642140,6679930,30.721500,0.006240
N-t75d11xx_150,best,transpose,cw,9642140,8066160,16.344712,0.009148
N-t75d11xx_150,best,exchange,random,9642140,9359167,2.934753,20.304504
N-t75d11xx_150,best,exchange,cw,9642140,9157790,5.023262,20.487881
N-t75d11xx_150,best,insert,random,9642140,9572479,0.722464,25.068902
N-t75d11xx_150,best,insert,cw,9642140,9500693,1.466967,25.031288
N-t75n11xx_150,best,transpose,random,1743094,1237861,28.984840,0.006430
N-t75n11xx_150,best,transpose,cw,1743094,1415796,18.776842,0.010155
N-t75n11xx_150,best,exchange,random,1743094,1646838,5.522135,20.588198
N-t75n11xx_150,best,exchange,cw,1743094,1608280,7.734178,20.299945
N-t75n11xx_150,best,insert,random,1743094,1715491,1.583563,24.864640
N-t75n11xx_150,best,insert,cw,1743094,1701695,2.375030,24.781048
N-t65f11xx_150,best,transpose,random,3159326,2249402,28.801206,0.006897
N-t65f11xx_150,best,transpose,cw,3159326,2639745,16.445944,0.009571
N-t65f11xx_150,best,exchange,random,3159326,3072658,2.743243,20.441086
N-t65f11xx_150,best,exchange,cw,3159326,3071068,2.793571,20.507726
N-t65f11xx_150,best,insert,random,3159326,3147548,0.372801,25.655670
N-t65f11xx_150,best,insert,cw,3159326,3109877,1.565176,24.811910
N-tiw56r58_150,best,transpose,random,1219295,852169,30.109695,0.006868
N-tiw56r58_150,best,transpose,cw,1219295,1032662,15.306632,0.009681
N-tiw56r58_150,best,exchange,random,1219295,1149611,5.715106,20.565005
N-tiw56r58_150,best,exchange,cw,1219295,1193248,2.136234,20.246125
N-tiw56r58_150,best,insert,random,1219295,1193785,2.092193,24.491756
N-tiw56r58_150,best,insert,cw,1219295,1194699,2.017231,24.548571
N-t59f11xx_150,best,transpose,random,1543733,1167511,24.370924,0.006850
N-t59f11xx_150,best,transpose,cw,1543733,1290519,16.402707,0.010754
N-t59f11xx_150,best,exchange,random,1543733,1510113,2.177838,20.338741
N-t59f11xx_150,best,exchange,cw,1543733,1510576,2.147846,20.456373
N-t59f11xx_150,best,insert,random,1543733,1506894,2.386358,25.719924
N-t59f11xx_150,best,insert,cw,1543733,1520587,1.499353,25.872819
N-t70d11xx_150,best,transpose,random,6174178,4381635,29.032901,0.006328
N-t70d11xx_150,best,transpose,cw,6174178,5237320,15.173809,0.008965
N-t70d11xx_150,best,exchange,random,6174178,6048773,2.031121,20.776944
N-t70d11xx_150,best,exchange,cw,6174178,5953871,3.568200,20.647065
N-t70d11xx_150,best,insert,random,6174178,6056534,1.905420,26.194925
N-t70d11xx_150,best,insert,cw,6174178,6031424,2.312113,26.826734
N-tiw56n66_150,best,transpose,random,2107619,1554996,26.220251,0.006210
N-tiw56n66_150,best,transpose,cw,2107619,1767304,16.146894,0.007240
N-tiw56n66_150,best,exchange,random,2107619,2064139,2.062991,21.435511
N-tiw56n66_150,best,exchange,cw,2107619,2014681,4.409621,22.090140
N-tiw56n66_150,best,insert,random,2107619,2067977,1.880890,24.636246
N-tiw56n66_150,best,insert,cw,2107619,2045926,2.927142,24.846227
N-tiw56r72_150,best,transpose,random,2823758,2029100,28.141859,0.006391
N-tiw56r72_150,best,transpose,cw,2823758,2377886,15.790022,0.008034
N-tiw56r72_150,best,exchange,random,2823758,2628036,6.931260,20.541284
N-tiw56r72_150,best,exchange,cw,2823758,2753723,2.480205,20.641074
N-tiw56r72_150,best,insert,random,2823758,2805967,0.630047,25.913578
N-tiw56r72_150,best,insert,cw,2823758,2791543,1.140856,25.930266
N-t70d11xn_150,best,transpose,random,5825147,4165912,28.484002,0.006811
N-t70d11xn_150,best,transpose,cw,5825147,4993085,14.283966,0.008152
N-t70d11xn_150,best,exchange,random,5825147,5657437,2.879069,22.188875
N-t70d11xn_150,best,exchange,cw,5825147,5556243,4.616261,20.834597
N-t70d11xn_150,best,insert,random,5825147,5753789,1.224999,25.053030
N-t70d11xn_150,best,insert,cw,5825147,5789569,0.610766,25.599107
N-tiw56n62_150,best,transpose,random,1626921,1210494,25.596018,0.007023
N-tiw56n62_150,best,transpose,cw,1626921,1366380,16.014361,0.009517
N-tiw56n62_150,best,exchange,random,1626921,1553741,4.498067,21.000946
N-tiw56n62_150,best,exchange,cw,1626921,1525111,6.257833,21.301501
N-tiw56n62_150,best,insert,random,1626921,1600380,1.631364,24.533500
N-tiw56n62_150,best,insert,cw,1626921,1611653,0.938460,24.502861
N-t65b11xx_150,best,transpose,random,6453836,4462101,30.861258,0.006351
N-t65b11xx_150,best,transpose,cw,6453836,5373905,16.733165,0.009537
N-t65b11xx_150,best,exchange,random,6453836,6192738,4.045625,20.310887
N-t65b11xx_150,best,exchange,cw,6453836,6295182,2.458290,20.523147
N-t65b11xx_150,best,insert,random,6453836,6389763,0.992789,26.075132
N-t65b11xx_150,best,insert,cw,6453836,6332159,1.885344,25.857124
N-t70b11xx_150,best,transpose,random,9647229,6828412,29.218929,0.007272
N-t70b11xx_150,best,transpose,cw,9647229,8059746,16.455326,0.012519
N-t70b11xx_150,best,exchange,random,9647229,9302158,3.576892,21.137657
N-t70b11xx_150,best,exchange,cw,9647229,9339870,3.185982,21.641798
N-t70b11xx_150,best,insert,random,9647229,9351406,3.066404,26.099948
N-t70b11xx_150,best,insert,cw,9647229,9519459,1.324422,24.572817
N-t70n11xx_150,best,transpose,random,948913,630632,33.541642,0.006426
N-t70n11xx_150,best,transpose,cw,948913,764186,19.467222,0.009710
N-t70n11xx_150,best,exchange,random,948913,915802,3.489361,20.443012
N-t70n11xx_150,best,exchange,cw,948913,927402,2.266910,20.246701
N-t70n11xx_150,best,insert,random,948913,914480,3.628678,24.538003
N-t70n11xx_150,best,insert,cw,948913,899820,5.173604,24.273451
N-be75tot_150,best,transpose,random,12287707,7915707,35.580275,0.006271
N-be75tot_150,best,transpose,cw,12287707,10130391,17.556701,0.009787
N-be75tot_150,best,exchange,random,12287707,11856220,3.511534,20.274329
N-be75tot_150,best,exchange,cw,12287707,11545350,6.041461,20.088714
N-be75tot_150,best,insert,random,12287707,11774466,4.176866,24.410179
N-be75tot_150,best,insert,cw,12287707,12142036,1.185502,24.571149
N-be75oi_150,best,transpose,random,2246534,1365458,39.219349,0.009509
N-be75oi_150,best,transpose,cw,2246534,1967639,12.414457,0.013398
N-be75oi_150,best,exchange,random,2246534,2206235,1.793830,21.048610
N-be75oi_150,best,exchange,cw,2246534,2196444,2.229657,20.908113
N-be75oi_150,best,insert,random,2246534,2232296,0.633776,26.331941
N-be75oi_150,best,insert,cw,2246534,2224507,0.980488,25.884769
N-tiw56n54_150,best,transpose,random,837945,569765,32.004487,0.006248
