instance,order,best_known,cost,delta_percent,time_seconds
N-tiw56r66_150,order1,1940755,1903074,1.941564,2.002536
N-tiw56r66_150,order2,1940755,1907523,1.712323,4.306546
N-stabu1_150,order1,2875732,2836463,1.365531,0.971340
N-stabu1_150,order2,2875732,2848720,0.939309,7.001578
N-tiw56r67_150,order1,2056347,2020080,1.763661,1.625878
N-tiw56r67_150,order2,2056347,2020918,1.722910,4.280315
N-tiw56n72_150,order1,4135907,4048987,2.101595,0.814719
N-tiw56n72_150,order2,4135907,4078143,1.396646,3.275329
N-stabu3_150,order1,4510445,4463126,1.049098,1.193749
N-stabu3_150,order2,4510445,4451902,1.297943,3.348345
N-t65n11xx_150,order1,550733,539370,2.063250,1.487862
N-t65n11xx_150,order2,550733,540738,1.814854,4.421408
N-tiw56n67_150,order1,2372926,2318896,2.276936,1.048272
N-tiw56n67_150,order2,2372926,2341718,1.315170,3.204409
N-t65d11xx_150,order1,3559347,3504670,1.536153,0.882951
N-t65d11xx_150,order2,3559347,3516070,1.215869,4.377038
N-stabu2_150,order1,4327538,4252239,1.739996,0.443085
N-stabu2_150,order2,4327538,4256622,1.638715,3.314793
N-tiw56n58_150,order1,1155392,1133392,1.904116,1.954726
N-tiw56n58_150,order2,1155392,1132474,1.983569,2.853807
N-t70l11xx_150,order1,436862,431544,1.217318,1.827714
N-t70l11xx_150,order2,436862,428333,1.952333,2.876120
N-t75k11xx_150,order1,1541596,1516300,1.640897,0.509110
N-t75k11xx_150,order2,1541596,1520733,1.353338,3.486550
N-tiw56r54_150,order1,958192,942695,1.617317,1.062868
N-tiw56r54_150,order2,958192,944347,1.444909,3.898844
N-t75d11xx_150,order1,9642140,9503778,1.434972,1.264829
N-t75d11xx_150,order2,9642140,9446289,2.031198,2.566515
N-t75n11xx_150,order1,1743094,1711917,1.788601,0.662961
N-t75n11xx_150,order2,1743094,1707664,2.032593,2.567806
N-t65f11xx_150,order1,3159326,3104911,1.722361,0.855287
N-t65f11xx_150,order2,3159326,3115876,1.375293,2.987003
N-tiw56r58_150,order1,1219295,1194066,2.069147,0.831374
N-tiw56r58_150,order2,1219295,1211366,0.650294,4.525237
N-t59f11xx_150,order1,1543733,1520068,1.532972,1.152403
N-t59f11xx_150,order2,1543733,1519149,1.592503,2.151594
N-t70d11xx_150,order1,6174178,6085409,1.437746,1.222194
N-t70d11xx_150,order2,6174178,6064244,1.780545,3.315532
N-tiw56n66_150,order1,2107619,2075689,1.514980,1.098923
N-tiw56n66_150,order2,2107619,2082347,1.199078,6.065814
N-tiw56r72_150,order1,2823758,2775630,1.704395,0.985476
N-tiw56r72_150,order2,2823758,2774988,1.727131,3.974554
N-t70d11xn_150,order1,5825147,5687147,2.369039,0.452775
N-t70d11xn_150,order2,5825147,5750890,1.274766,5.865269
N-tiw56n62_150,order1,1626921,1609400,1.076942,1.885870
N-tiw56n62_150,order2,1626921,1590568,2.234466,3.429842
N-t65b11xx_150,order1,6453836,6381361,1.122976,0.938047
N-t65b11xx_150,order2,6453836,6371940,1.268951,4.433747
N-t70b11xx_150,order1,9647229,9502468,1.500545,1.032999
N-t70b11xx_150,order2,9647229,9496738,1.559940,1.651114
N-t70n11xx_150,order1,948913,926312,2.381778,0.946430
N-t70n11xx_150,order2,948913,935780,1.384005,4.538394
N-be75tot_150,order1,12287707,12104791,1.488610,0.702250
N-be75tot_150,order2,12287707,12172145,0.940468,5.876187
N-be75oi_150,order1,2246534,2229177,0.772612,1.650811
N-be75oi_150,order2,2246534,2235511,0.490667,3.717591
N-tiw56n54_150,order1,837945,824352,1.622183,1.182095
N-tiw56n54_150,order2,837945,823309,1.746654,4.510787
N-t59n11xx_150,order1,318960,313863,1.598006,1.670428
N-t59n11xx_150,order2,318960,316030,0.918610,3.601433
N-t69r11xx_150,order1,11855957,11639335,1.827115,2.242253
N-t69r11xx_150,order2,11855957,11592124,2.225320,2.900814
N-t70f11xx_150,order1,5150097,5026808,2.393916,1.039309
N-t70f11xx_150,order2,5150097,5074906,1.459992,2.727745
N-t74d11xx_150,order1,9396044,9257763,1.471694,2.128192
N-t74d11xx_150,order2,9396044,9272303,1.316948,3.349805
N-be75eec_150,order1,3482828,3468249,0.418597,3.034995
N-be75eec_150,order2,3482828,3448404,0.988392,5.950391
N-be75np_150,order1,7174325,7007893,2.319828,1.049547
N-be75np_150,order2,7174325,7106014,0.952159,9.610895
N-t65l11xx_150,order1,253396,251178,0.875310,2.165158
N-t65l11xx_150,order2,253396,250984,0.951870,2.763655
N-t59b11xx_150,order1,3239550,3201830,1.164359,2.586042
N-t59b11xx_150,order2,3239550,3173885,2.026979,2.478744
N-t59d11xx_150,order1,1462697,1442931,1.351339,1.147203
N-t59d11xx_150,order2,1462697,1447537,1.036442,3.535650
N-t75e11xx_150,order1,41570193,40891631,1.632328,0.813586
N-t75e11xx_150,order2,41570193,41057957,1.232219,4.899452
maxSteps = 10000
MaxNoImrovement = 100
