instance,order,cost,delta_percent,time_seconds
N-tiw56r67_250,order1,5181358,2.047391,201.842409
N-tiw56r67_250,order2,5194932,1.790777,343.882201
N-tiw56r66_150,order1,1905311,1.826300,11.861752
N-tiw56r66_150,order2,1899565,2.122370,16.160778
N-tiw56n58_250,order1,2835798,2.437818,160.278384
N-tiw56n58_250,order2,2860022,1.604420,307.881699
N-stabu1_150,order1,2841290,1.197678,14.315288
N-stabu1_150,order2,2844364,1.090783,19.922272
N-tiw56r67_150,order1,2017057,1.910670,12.533930
N-tiw56r67_150,order2,2009699,2.268489,17.902376
N-tiw56n72_150,order1,4063343,1.754488,10.048435
N-tiw56n72_150,order2,4058852,1.863074,16.185339
N-t65l11xx_250,order1,648467,2.669703,219.522955
N-t65l11xx_250,order2,652869,2.008994,210.857901
N-stabu3_150,order1,4431958,1.740117,11.922356
N-stabu3_150,order2,4434448,1.684911,17.680887
N-t65n11xx_150,order1,537261,2.446194,10.515132
N-t65n11xx_150,order2,538716,2.182001,12.756461
N-tiw56n67_150,order1,2335992,1.556475,11.305813
N-tiw56n67_150,order2,2338497,1.450909,14.430223
N-t70d11xn_250,order1,14929022,1.828368,209.913149
N-t70d11xn_250,order2,14941713,1.744913,330.746475
N-t65d11xx_150,order1,3474470,2.384623,9.952561
N-t65d11xx_150,order2,3460336,2.781718,17.269843
N-stabu3_250,order1,11581170,2.681820,223.520615
N-stabu3_250,order2,11700277,1.680947,316.763647
N-stabu2_150,order1,4242170,1.972669,14.545173
N-stabu2_150,order2,4253640,1.707622,16.704620
N-t59f11xx_250,order1,3900332,2.320908,201.666672
N-t59f11xx_250,order2,3895377,2.445000,292.529926
N-tiw56n66_250,order1,5257866,2.095522,205.088135
N-tiw56n66_250,order2,5219360,2.812526,300.721272
N-stabu2_250,order1,11196141,2.646045,185.769651
N-stabu2_250,order2,11308755,1.666831,341.620485
N-t75n11xx_250,order1,4421895,2.277311,249.455274
N-t75n11xx_250,order2,4458843,1.460770,353.412184
N-be75eec_250,order1,8733894,1.795001,215.753465
N-be75eec_250,order2,8734809,1.784713,286.479035
N-tiw56n58_150,order1,1129647,2.228248,10.783499
N-tiw56n58_150,order2,1137841,1.519052,13.295452
N-t70l11xx_150,order1,428154,1.993307,14.853540
N-t70l11xx_150,order2,424978,2.720310,12.894074
N-tiw56r58_250,order1,2994446,2.152616,196.495090
N-tiw56r58_250,order2,2997969,2.037497,253.769392
N-t75k11xx_250,order1,4017927,1.854538,264.855046
N-t75k11xx_250,order2,4004161,2.190799,283.538067
N-be75oi_250,order1,5784077,2.132267,268.175617
N-be75oi_250,order2,5781765,2.171386,293.601050
N-t75k11xx_150,order1,1511823,1.931310,12.163183
N-t75k11xx_150,order2,1518465,1.500458,17.126879
N-t59d11xx_250,order1,3771161,1.822519,158.960837
N-t59d11xx_250,order2,3761250,2.080540,284.250508
N-t75d11xx_250,order1,24635388,1.525643,222.876048
N-t75d11xx_250,order2,24626842,1.559804,316.393439
N-tiw56r54_150,order1,930689,2.870302,8.728718
N-tiw56r54_150,order2,945857,1.287320,13.504194
N-tiw56n54_250,order1,2050489,2.298394,166.777620
N-tiw56n54_250,order2,2052197,2.217012,279.347755
N-t75d11xx_150,order1,9421969,2.283425,10.042725
N-t75d11xx_150,order2,9450183,1.990813,16.659035
N-be75np_250,order1,17484069,1.852485,181.373587
N-be75np_250,order2,17440889,2.094878,275.290745
N-t75n11xx_150,order1,1709861,1.906552,12.326473
N-t75n11xx_150,order2,1700741,2.429760,20.377942
N-t65d11xx_250,order1,9136292,2.303368,165.030837
N-t65d11xx_250,order2,9180740,1.828075,276.110953
N-t65f11xx_150,order1,3103972,1.752083,12.093130
N-t65f11xx_150,order2,3098902,1.912560,14.522993
N-tiw56r58_150,order1,1198582,1.698769,10.287150
N-tiw56r58_150,order2,1196119,1.900771,13.680549
N-t59f11xx_150,order1,1525853,1.158231,12.695721
N-t59f11xx_150,order2,1516282,1.778222,15.439414
N-tiw56r54_250,order1,2342365,1.884266,222.400144
N-tiw56r54_250,order2,2347515,1.668545,292.377614
N-t70b11xx_250,order1,24816613,2.308511,248.464383
N-t70b11xx_250,order2,24766030,2.507632,329.034491
N-t70d11xx_150,order1,6025574,2.406863,8.948569
N-t70d11xx_150,order2,6082415,1.486238,17.985377
N-tiw56n66_150,order1,2057072,2.398299,8.714227
N-tiw56n66_150,order2,2071245,1.725834,14.052150
N-tiw56r72_150,order1,2765161,2.075142,14.782840
N-tiw56r72_150,order2,2740384,2.952590,13.227931
N-tiw56n67_250,order1,6233647,1.442104,208.685131
N-tiw56n67_250,order2,6225103,1.577190,272.878867
N-t70d11xn_150,order1,5717526,1.847524,12.594936
N-t70d11xn_150,order2,5725499,1.710652,16.961922
N-tiw56n62_150,order1,1592233,2.132126,13.040611
N-tiw56n62_150,order2,1591811,2.158064,12.051699
N-t65b11xx_150,order1,6326052,1.979970,14.731728
N-t65b11xx_150,order2,6352170,1.575280,16.524677
N-t75e11xx_250,order1,104552011,2.172530,198.060820
N-t75e11xx_250,order2,104638234,2.091853,330.917468
N-tiw56n62_250,order1,4058504,2.033458,228.293976
N-tiw56n62_250,order2,4053124,2.163324,275.268197
N-t70b11xx_150,order1,9445450,2.091575,11.236002
N-t70b11xx_150,order2,9403049,2.531089,15.454302
N-t70n11xx_150,order1,921266,2.913544,11.700871
N-t70n11xx_150,order2,925687,2.447643,14.204342
N-be75tot_150,order1,11996920,2.366487,12.259664
N-be75tot_150,order2,11972248,2.567273,15.872504
N-tiw56r72_250,order1,7297534,2.067280,184.376443
N-tiw56r72_250,order2,7308724,1.917110,293.125624
N-be75oi_150,order1,2218218,1.260431,14.063232
N-be75oi_150,order2,2208143,1.708899,14.941006
N-tiw56r66_250,order1,4841814,2.154226,185.393529
N-tiw56r66_250,order2,4851997,1.948442,314.882381
N-tiw56n54_150,order1,820953,2.027818,8.379270
N-tiw56n54_150,order2,824267,1.632327,12.908288
N-stabu1_250,order1,7576630,2.141623,148.932073
N-stabu1_250,order2,7607025,1.749047,289.954441
N-t65f11xx_250,order1,8298599,1.319545,261.015045
N-t65f11xx_250,order2,8234022,2.087444,296.052854
N-t70n11xx_250,order1,2384790,2.438236,229.426479
N-t70n11xx_250,order2,2395503,1.999967,314.915600
N-t59n11xx_150,order1,312944,1.886130,12.268025
N-t59n11xx_150,order2,311976,2.189616,16.468985
N-t70d11xx_250,order1,15735138,1.904146,218.509920
N-t70d11xx_250,order2,15784245,1.598004,274.924391
N-t74d11xx_250,order1,23952518,1.955494,186.724030
N-t74d11xx_250,order2,23869856,2.293853,266.734557
N-t69r11xx_150,order1,11525073,2.790867,14.079490
N-t69r11xx_150,order2,11490270,3.084416,16.865836
N-t70f11xx_150,order1,5033936,2.255511,15.172966
N-t70f11xx_150,order2,5029249,2.346519,13.995456
N-t74d11xx_150,order1,9223198,1.839561,15.758406
N-t74d11xx_150,order2,9213287,1.945042,12.242152
N-t59n11xx_250,order1,805620,2.421004,194.175427
N-t59n11xx_250,order2,805208,2.470906,301.382652
N-be75eec_150,order1,3420622,1.786077,12.614209
N-be75eec_150,order2,3409495,2.105559,16.902352
N-be75np_150,order1,7039834,1.874615,13.869381
N-be75np_150,order2,7037060,1.913281,15.841047
N-t65n11xx_250,order1,1400855,1.994386,227.471809
N-t65n11xx_250,order2,1398520,2.157746,280.028462
N-t70l11xx_250,order1,1092300,1.871124,227.764133
N-t70l11xx_250,order2,1092070,1.891786,260.719511
N-t65l11xx_150,order1,250490,1.146822,13.271924
N-t65l11xx_150,order2,249587,1.503181,13.202797
N-t59b11xx_150,order1,3138065,3.132688,12.051604
N-t59b11xx_150,order2,3158065,2.515318,14.590828
N-t69r11xx_250,order1,30839952,3.067567,202.461846
N-t69r11xx_250,order2,31068750,2.348437,350.671898
N-t59d11xx_150,order1,1441714,1.434542,11.327014
N-t59d11xx_150,order2,1430961,2.169691,15.381482
N-t75e11xx_150,order1,40496465,2.582928,10.859798
N-t75e11xx_150,order2,40303354,3.047470,14.313639
N-t65b11xx_250,order1,16937447,1.948298,181.481220
N-t65b11xx_250,order2,16889083,2.228280,322.623761
N-tiw56n72_250,order1,10987412,1.455590,190.822493
N-tiw56n72_250,order2,11014874,1.209287,285.845412
N-t70f11xx_250,order1,13255959,2.430242,193.761710
N-t70f11xx_250,order2,13356888,1.687360,278.613610
N-t59b11xx_250,order1,8221740,2.260723,201.506253
N-t59b11xx_250,order2,8284120,1.519156,302.593212
N-be75tot_250,order1,30312371,2.087426,186.750477
N-be75tot_250,order2,30377588,1.876767,332.493785
